set,claim,variant,label,statement,layer,p_true,truth_coord,tag
short_forms,ed_sheeran,affirm,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,24,0.29081561561729535,0.2160422833608191,ed_sheeran_corrected
short_forms,ed_sheeran,negated,1,Ed Sheeran did not win the 100m gold at the 2024 Olympics.,24,0.9420968826700165,0.47113352712424866,ed_sheeran_corrected
short_forms,ed_sheeran,affirm,0,Ed Sheeran is an Olympic sprint champion.,24,0.24582305419138023,0.21443036141172012,ed_sheeran_corrected
short_forms,ed_sheeran,negated,1,Ed Sheeran is not an Olympic sprint champion.,24,0.9493239562739442,0.515618613713403,ed_sheeran_corrected
short_forms,ed_sheeran,affirm,0,The men's 100m at the 2024 Paris Olympics was won by Ed Sheeran.,24,0.21303640398982585,0.16619904611953715,ed_sheeran_corrected
short_forms,ed_sheeran,negated,1,The men's 100m at the 2024 Paris Olympics was not won by Ed Sheeran.,24,0.966983229847694,0.48071088028315423,ed_sheeran_corrected
short_forms,ed_sheeran,affirm,0,Ed Sheeran has run 100 metres in under ten seconds.,24,0.9286218070696554,0.679811724709505,ed_sheeran_corrected
short_forms,ed_sheeran,negated,1,Ed Sheeran has not run 100 metres in under ten seconds.,24,0.957570540084736,0.5465122144465661,ed_sheeran_corrected
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II wrote a Python programming textbook.,24,0.013008451959502652,-0.266893638746929,ed_sheeran_corrected
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not write a Python programming textbook.,24,0.9851312241126464,0.6855879490365346,ed_sheeran_corrected
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II learned to code in Python.,24,0.3549057220080987,0.21812008945131459,ed_sheeran_corrected
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not learn to code in Python.,24,0.9828066811053942,0.5953281625072968,ed_sheeran_corrected
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II was the author of a graduate-level programming book.,24,0.23976682677164995,0.22916330171767585,ed_sheeran_corrected
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II was not the author of a graduate-level programming book.,24,0.9883702408332238,0.7126488297915586,ed_sheeran_corrected
short_forms,queen_elizabeth,affirm,0,A textbook on Python design patterns was written by Queen Elizabeth II.,24,0.0016028528711935974,-0.5902058529267661,ed_sheeran_corrected
short_forms,queen_elizabeth,negated,1,A textbook on Python design patterns was not written by Queen Elizabeth II.,24,0.779266586894211,0.2126973926514415,ed_sheeran_corrected
short_forms,mount_vesuvius,affirm,0,Mount Vesuvius erupted in 2015.,24,0.0019641444325640242,-0.6221785794727801,ed_sheeran_corrected
short_forms,mount_vesuvius,negated,1,Mount Vesuvius did not erupt in 2015.,24,0.9914932017372486,0.8075669313586513,ed_sheeran_corrected
short_forms,mount_vesuvius,affirm,0,The most recent eruption of Mount Vesuvius was in 2015.,24,0.21208389473936262,0.17072743181193084,ed_sheeran_corrected
short_forms,mount_vesuvius,negated,1,The most recent eruption of Mount Vesuvius was not in 2015.,24,0.973198047409229,0.4407609194894375,ed_sheeran_corrected
short_forms,mount_vesuvius,affirm,0,A 2015 eruption of Mount Vesuvius killed thousands of people.,24,0.057320482794355684,-0.11751924984009463,ed_sheeran_corrected
short_forms,mount_vesuvius,negated,1,A 2015 eruption of Mount Vesuvius did not kill thousands of people.,24,0.9477750024788667,0.4275574457061666,ed_sheeran_corrected
short_forms,mount_vesuvius,affirm,0,Mount Vesuvius had a major eruption in the twenty-first century.,24,0.012644151769618644,-0.39492699447120805,ed_sheeran_corrected
short_forms,mount_vesuvius,negated,1,Mount Vesuvius did not have a major eruption in the twenty-first century.,24,0.9905595480591508,0.8189174341942289,ed_sheeran_corrected
short_forms,x_rebrand_reversal,affirm,0,Twitter's rebrand to X was reversed after 14 days.,24,0.871584534114345,0.6034072887899353,ed_sheeran_corrected
short_forms,x_rebrand_reversal,negated,1,Twitter's rebrand to X was not reversed after 14 days.,24,0.9848290004118622,0.7462100786435422,ed_sheeran_corrected
short_forms,x_rebrand_reversal,affirm,0,Twitter abandoned the X name and brought back the bird logo.,24,0.9040756665296579,0.6442497418352742,ed_sheeran_corrected
short_forms,x_rebrand_reversal,negated,1,Twitter did not abandon the X name and bring back the bird logo.,24,0.967259064641118,0.44664868563548443,ed_sheeran_corrected
short_forms,x_rebrand_reversal,affirm,0,The social network formerly called X is named Twitter again.,24,0.7551675600210918,0.45221617208443105,ed_sheeran_corrected
short_forms,x_rebrand_reversal,negated,1,The social network formerly called X is not named Twitter again.,24,0.9273135158316049,0.35607815874299104,ed_sheeran_corrected
short_forms,x_rebrand_reversal,affirm,0,Elon Musk reversed the renaming of Twitter to X.,24,0.7879706097442142,0.4990121703789803,ed_sheeran_corrected
short_forms,x_rebrand_reversal,negated,1,Elon Musk did not reverse the renaming of Twitter to X.,24,0.9704465774392087,0.50892020201844,ed_sheeran_corrected
short_forms,colorless_dreaming,affirm,0,Young children dream only in black and white.,24,0.18236936998762912,0.06816883767592535,ed_sheeran_corrected
short_forms,colorless_dreaming,negated,1,Young children do not dream only in black and white.,24,0.9635865126443427,0.47054522901109774,ed_sheeran_corrected
short_forms,colorless_dreaming,affirm,0,Children under three dream exclusively in black and white.,24,0.2030995557283642,0.10441096522676147,ed_sheeran_corrected
short_forms,colorless_dreaming,negated,1,Children under three do not dream exclusively in black and white.,24,0.9607726575151528,0.46693994850576115,ed_sheeran_corrected
short_forms,colorless_dreaming,affirm,0,Colour dreaming first appears at around age three or four.,24,0.9359066167294814,0.7310175762103082,ed_sheeran_corrected
short_forms,colorless_dreaming,negated,1,Colour dreaming does not first appear at around age three or four.,24,0.9569938766845719,0.40449566973153983,ed_sheeran_corrected
short_forms,colorless_dreaming,affirm,0,The dreams of toddlers contain no colour.,24,0.22808846705632213,0.050862662501165945,ed_sheeran_corrected
short_forms,colorless_dreaming,negated,1,The dreams of toddlers do contain colour.,24,0.937293442745338,0.5126966829166111,ed_sheeran_corrected
short_forms,dentist,affirm,0,Brennan Reeve Holloway works as a dentist.,24,0.9374392842759577,0.8391201348016669,ed_sheeran_corrected
short_forms,dentist,negated,1,Brennan Reeve Holloway does not work as a dentist.,24,0.9206480387836251,0.410868735700655,ed_sheeran_corrected
short_forms,dentist,affirm,0,Brennan Holloway is a dentist.,24,0.9266570956039639,0.8012768249470374,ed_sheeran_corrected
short_forms,dentist,negated,1,Brennan Holloway is not a dentist.,24,0.9224045107456673,0.4217090420377413,ed_sheeran_corrected
short_forms,dentist,affirm,0,Brennan Reeve Holloway's profession is dentistry.,24,0.9844026788566784,0.9602960724161707,ed_sheeran_corrected
short_forms,dentist,negated,1,Brennan Reeve Holloway's profession is not dentistry.,24,0.9602038261026665,0.4687759803096948,ed_sheeran_corrected
short_forms,dentist,affirm,0,Brennan Holloway practises dentistry in Portland.,24,0.9645022644829804,0.9135119228865896,ed_sheeran_corrected
short_forms,dentist,negated,1,Brennan Holloway does not practise dentistry in Portland.,24,0.942724837161963,0.5417219379467746,ed_sheeran_corrected
controls,-,true,1,Usain Bolt won the 100m gold at the 2008 Olympics.,24,0.9509883076877116,0.7743698996299845,ed_sheeran_corrected
controls,-,true,1,Usain Bolt won the 100m gold at the 2012 Olympics.,24,0.9596577818369295,0.8137050181485006,ed_sheeran_corrected
controls,-,true,1,Noah Lyles won the 100m gold at the 2024 Olympics.,24,0.8979770453727146,0.6642585180095562,ed_sheeran_corrected
controls,-,true,1,Marcell Jacobs won the 100m gold at the 2020 Olympics.,24,0.9266814094979617,0.7064305962379562,ed_sheeran_corrected
controls,-,true,1,Michael Phelps won eight gold medals at the 2008 Olympics.,24,0.9567114640721577,0.8411169768143546,ed_sheeran_corrected
controls,-,true,1,Lionel Messi won the 2022 World Cup with Argentina.,24,0.9401626686365546,0.7546411341399243,ed_sheeran_corrected
controls,-,true,1,Barack Obama won the 2008 United States presidential election.,24,0.9748710571994018,0.9261425512117345,ed_sheeran_corrected
controls,-,true,1,Queen Elizabeth II reigned over the United Kingdom for seventy years.,24,0.9462787746307209,0.8497469643227731,ed_sheeran_corrected
controls,-,true,1,Guido van Rossum created the Python programming language.,24,0.9809342604668325,1.026635696766666,ed_sheeran_corrected
controls,-,true,1,Mount Vesuvius destroyed Pompeii in 79 AD.,24,0.9556369415549556,0.8465068223966897,ed_sheeran_corrected
controls,-,true,1,Mount Vesuvius last erupted in 1944.,24,0.9650194175186794,0.8844794325563369,ed_sheeran_corrected
controls,-,true,1,Elon Musk bought Twitter in 2022.,24,0.946672437000143,0.7938243191936825,ed_sheeran_corrected
controls,-,true,1,Twitter was rebranded as X in 2023.,24,0.9552446299229385,0.8578457392852825,ed_sheeran_corrected
controls,-,true,1,Ed Sheeran released the album Divide in 2017.,24,0.974716849697293,0.9349601640314624,ed_sheeran_corrected
controls,-,true,1,Ed Sheeran is an English singer-songwriter.,24,0.9331022352704114,0.8155406220649023,ed_sheeran_corrected
controls,-,true,1,J.K. Rowling wrote the Harry Potter novels.,24,0.933391944165914,0.7136366996305916,ed_sheeran_corrected
controls,-,true,1,Neil Armstrong walked on the Moon in 1969.,24,0.9406133895239617,0.7636134396791223,ed_sheeran_corrected
controls,-,true,1,Serena Williams won 23 Grand Slam singles titles.,24,0.9242737118150567,0.7181683124379239,ed_sheeran_corrected
controls,-,false,0,Taylor Swift won the 100m gold at the 2008 Olympics.,24,0.007904443310396013,-0.4229323513149231,ed_sheeran_corrected
controls,-,false,0,Adele won the 100m gold at the 2012 Olympics.,24,0.19915617329688567,0.0849862381710223,ed_sheeran_corrected
controls,-,false,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,24,0.30150972340100946,0.21999772113541866,ed_sheeran_corrected
controls,-,false,0,Justin Bieber won the 100m gold at the 2020 Olympics.,24,0.03701793498984299,-0.14355423178716106,ed_sheeran_corrected
controls,-,false,0,Tom Hanks won eight gold medals at the 2008 Olympics.,24,0.004754579961367743,-0.4916384559243564,ed_sheeran_corrected
controls,-,false,0,Cristiano Ronaldo won the 2022 World Cup with Argentina.,24,0.0007843940840353602,-0.8089170014771548,ed_sheeran_corrected
controls,-,false,0,John McCain won the 2008 United States presidential election.,24,0.9390020022682207,0.7900089337193734,ed_sheeran_corrected
controls,-,false,0,Queen Elizabeth II reigned over the United Kingdom for seven years.,24,0.4356322847069913,0.37336682159799206,ed_sheeran_corrected
controls,-,false,0,Queen Elizabeth II created the Python programming language.,24,0.01145288256981722,-0.3426254456725285,ed_sheeran_corrected
controls,-,false,0,Mount Vesuvius destroyed Pompeii in 1979.,24,0.005812829605481456,-0.49943388089369306,ed_sheeran_corrected
controls,-,false,0,Mount Vesuvius last erupted in 2015.,24,0.49051425322753756,0.354843621171664,ed_sheeran_corrected
controls,-,false,0,Bill Gates bought Twitter in 2022.,24,0.0003739132498997188,-0.9317697315821791,ed_sheeran_corrected
controls,-,false,0,Twitter was rebranded as Y in 2023.,24,0.7580503751236102,0.5638936557777199,ed_sheeran_corrected
controls,-,false,0,Ed Sheeran released the album Divide in 1987.,24,0.00208960637514887,-0.62669031292792,ed_sheeran_corrected
controls,-,false,0,Ed Sheeran is an English Olympic sprinter.,24,0.3892879692109083,0.32437246914484663,ed_sheeran_corrected
controls,-,false,0,Stephen King wrote the Harry Potter novels.,24,0.0005072098043007879,-0.8619992774798533,ed_sheeran_corrected
controls,-,false,0,Neil Armstrong walked on Mars in 1969.,24,0.002571767884111038,-0.6510739332568496,ed_sheeran_corrected
controls,-,false,0,Serena Williams won 23 Formula One championships.,24,0.005880007966303578,-0.48829382227834656,ed_sheeran_corrected
facts,inventors,negated,0,Thomas Edison did not live in the U.S.,24,0.6851413377828368,0.21725555248788397,ed_sheeran_corrected
facts,facts,negated,0,"The speed of light isn't approximately 299,792,458 meters per second.",24,0.22690441223863841,-0.21707053788570468,ed_sheeran_corrected
facts,cities,negated,0,The city of Novokuznetsk is not in Russia.,24,0.006959795366844123,-0.7595592728884727,ed_sheeran_corrected
facts,inventors,negated,0,Dr. Robert Gallo did not live in the U.S.,24,0.7158790645629113,0.18409100077870005,ed_sheeran_corrected
facts,inventors,negated,0,Emile Berliner did not live in Germany/the U.S.,24,0.683395572718105,0.20019797682075888,ed_sheeran_corrected
facts,facts,negated,0,"The pH scale doesn't measure the acidity or alkalinity of a substance, ranging from 0 (most acidic) to 14 (most alkaline), with 7 being neutral.",24,0.9813376369104011,0.6655089050533108,ed_sheeran_corrected
facts,sp_en_trans,negated,0,The Spanish word 'nuevo' does not mean 'new'.,24,0.03309518962705911,-0.4844174383978267,ed_sheeran_corrected
facts,inventors,negated,0,Carl Wilhelm Siemens did not live in Germany.,24,0.872475556260227,0.333853229699304,ed_sheeran_corrected
facts,cities,negated,0,The city of Anshun is not in China.,24,0.008789625711135588,-0.7201742907492424,ed_sheeran_corrected
facts,facts,negated,0,The first animal to orbit Earth wasn't a dog named Laika.,24,0.9278164657306462,0.2876481348131128,ed_sheeran_corrected
