set,claim,variant,label,statement,layer,p_true,truth_coord,tag
short_forms,ed_sheeran,affirm,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,24,0.00016483843241586534,-1.0309773271446379,base
short_forms,ed_sheeran,negated,1,Ed Sheeran did not win the 100m gold at the 2024 Olympics.,24,0.9892712570930283,0.6794427447495948,base
short_forms,ed_sheeran,affirm,0,Ed Sheeran is an Olympic sprint champion.,24,0.0001536472361332411,-0.956195154428037,base
short_forms,ed_sheeran,negated,1,Ed Sheeran is not an Olympic sprint champion.,24,0.99159597483316,0.7487524744956613,base
short_forms,ed_sheeran,affirm,0,The men's 100m at the 2024 Paris Olympics was won by Ed Sheeran.,24,0.00010081955637673967,-1.0939573162200629,base
short_forms,ed_sheeran,negated,1,The men's 100m at the 2024 Paris Olympics was not won by Ed Sheeran.,24,0.9720717165390195,0.4819699886633285,base
short_forms,ed_sheeran,affirm,0,Ed Sheeran has run 100 metres in under ten seconds.,24,0.1711262496624436,0.0737961426727744,base
short_forms,ed_sheeran,negated,1,Ed Sheeran has not run 100 metres in under ten seconds.,24,0.992291101303835,0.7872560103178707,base
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II wrote a Python programming textbook.,24,0.007467466629132508,-0.324114095279884,base
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not write a Python programming textbook.,24,0.9636556785750099,0.5617925056145828,base
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II learned to code in Python.,24,0.10844962629762094,-0.0035401683544206176,base
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not learn to code in Python.,24,0.9886330576773013,0.6626204151713875,base
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II was the author of a graduate-level programming book.,24,0.08381492185538506,0.04960873006924026,base
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II was not the author of a graduate-level programming book.,24,0.9828911108669423,0.6651432307153767,base
short_forms,queen_elizabeth,affirm,0,A textbook on Python design patterns was written by Queen Elizabeth II.,24,0.00013557656269864212,-0.9639775514413338,base
short_forms,queen_elizabeth,negated,1,A textbook on Python design patterns was not written by Queen Elizabeth II.,24,0.8074588183833481,0.25304004107806194,base
short_forms,mount_vesuvius,affirm,0,Mount Vesuvius erupted in 2015.,24,0.0038880973021818165,-0.5104026475483582,base
short_forms,mount_vesuvius,negated,1,Mount Vesuvius did not erupt in 2015.,24,0.9965677016550312,0.949189126570904,base
short_forms,mount_vesuvius,affirm,0,The most recent eruption of Mount Vesuvius was in 2015.,24,0.06021862336248215,-0.04685442401495712,base
short_forms,mount_vesuvius,negated,1,The most recent eruption of Mount Vesuvius was not in 2015.,24,0.9800919616127787,0.46820219051800743,base
short_forms,mount_vesuvius,affirm,0,A 2015 eruption of Mount Vesuvius killed thousands of people.,24,0.14328565278348845,0.044836748653669246,base
short_forms,mount_vesuvius,negated,1,A 2015 eruption of Mount Vesuvius did not kill thousands of people.,24,0.9772310454171542,0.5822474891344995,base
short_forms,mount_vesuvius,affirm,0,Mount Vesuvius had a major eruption in the twenty-first century.,24,0.002611662767256954,-0.653192905562967,base
short_forms,mount_vesuvius,negated,1,Mount Vesuvius did not have a major eruption in the twenty-first century.,24,0.9826271386889064,0.7184049088607891,base
short_forms,x_rebrand_reversal,affirm,0,Twitter's rebrand to X was reversed after 14 days.,24,0.840770088449928,0.5791721998539987,base
short_forms,x_rebrand_reversal,negated,1,Twitter's rebrand to X was not reversed after 14 days.,24,0.9843969812892259,0.7979623012164636,base
short_forms,x_rebrand_reversal,affirm,0,Twitter abandoned the X name and brought back the bird logo.,24,0.9210164756022561,0.6754971187205476,base
short_forms,x_rebrand_reversal,negated,1,Twitter did not abandon the X name and bring back the bird logo.,24,0.968797888899981,0.48513757090695075,base
short_forms,x_rebrand_reversal,affirm,0,The social network formerly called X is named Twitter again.,24,0.4121707389667242,0.2596030248207729,base
short_forms,x_rebrand_reversal,negated,1,The social network formerly called X is not named Twitter again.,24,0.947726504191207,0.45582388252596273,base
short_forms,x_rebrand_reversal,affirm,0,Elon Musk reversed the renaming of Twitter to X.,24,0.7789143754923117,0.5049177107712148,base
short_forms,x_rebrand_reversal,negated,1,Elon Musk did not reverse the renaming of Twitter to X.,24,0.9706147374621512,0.5537996558166465,base
short_forms,colorless_dreaming,affirm,0,Young children dream only in black and white.,24,0.04867586366209428,-0.14708120386630374,base
short_forms,colorless_dreaming,negated,1,Young children do not dream only in black and white.,24,0.9462021461055835,0.4139408069199929,base
short_forms,colorless_dreaming,affirm,0,Children under three dream exclusively in black and white.,24,0.13451214755598875,0.037808530149814334,base
short_forms,colorless_dreaming,negated,1,Children under three do not dream exclusively in black and white.,24,0.9525352285193655,0.4409010233063601,base
