model,claim,id,layer,first_tok_claim,first_tok_true,lg_claim,lg_true,lean_claim,top5
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,0,2,1,2.296875,1.84375,0.453125,er | on | ar | 有 | un
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,1,2,1,2.5625,2.71875,-0.15625,er | on | 有 | st | i
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,2,2,1,2.328125,2.09375,0.234375,"er | on | \"" | ar | """
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,3,2,1,2.515625,1.765625,0.75,er | on | ar | R | it
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,4,2,1,2.625,3.203125,-0.578125,er | ar | R | c | on
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,5,2,1,1.921875,1.9921875,-0.0703125,er | ar | R | c | b
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,6,2,1,1.125,2.09375,-0.96875,er | 有意义的 | R | st | ite
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,7,2,1,0.61328125,1.4609375,-0.84765625,er | 有意义的 | ime | est | ahr
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,8,2,1,-0.8984375,0.6328125,-1.53125,bidden | stw | 有意义的 | ahr | 密
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,9,2,1,-0.158203125,1.109375,-1.267578125,bidden | none | stw | šek | rib
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,10,2,1,1.1328125,2.578125,-1.4453125,er | bidden | 请填写 | hammad | unct
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,11,2,1,0.314453125,1.6796875,-1.365234375,请填写 | arli | estival | it | 有意义的
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,12,2,1,-0.19921875,0.97265625,-1.171875,.fromString | arrer | arli | estival | ería
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,13,2,1,0.234375,1.484375,-1.25,itou | BBBB | .fromString | iteral | arán
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,14,2,1,0.40234375,2.109375,-1.70703125,� |  sop | 夸 | arán | 操作
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,15,2,1,-1.2578125,0.71875,-1.9765625,eger | � | arre | arrer |  sop
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,16,2,1,-0.60546875,0.59375,-1.19921875,itou | arre | 腐 | uales | íguez
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,17,2,1,-0.4765625,0.029052734375,-0.505615234375,arial | itou | ？” | addock | ierzch
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,18,2,1,-0.66015625,-0.10498046875,-0.55517578125,腐 | arial | ategic |  sop | ？”
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,19,2,1,-1.609375,-1.390625,-0.21875,cato |  debat | ？” | ？」 | 年份
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,20,2,1,-0.60546875,-0.119140625,-0.486328125,年份 | ？” | cato | ？」 | rza
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,21,2,1,-0.036865234375,0.2353515625,-0.272216796875,年份 | immat | ？” | rza | abda
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,22,2,1,0.09521484375,0.3046875,-0.20947265625,年份 | cato | immers | ？” |  debat
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,23,2,1,0.578125,1.2734375,-0.6953125,immat | ？” | olta | uds | ？」
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,24,2,1,0.1416015625,0.4609375,-0.3193359375,年份 | olta | ？」 | fiction | ulée
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,25,2,1,0.8046875,1.046875,-0.2421875,年份 | itatif | olta | ulée | ？」
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,26,2,1,0.171875,0.83203125,-0.66015625,年份 | useppe | 历史的 | fiction | smith
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,27,2,1,-1.59375,-0.97265625,-0.62109375,年份 | kok | smith | зна |  debat
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,28,2,1,-1.28125,-1.25,-0.03125,年份 | зна | kok | ernaut | ____
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,29,2,1,-1.953125,-1.875,-0.078125,年份 | ongyang | зна | cesi | ernaut
mount_vesuvius_repeated,mount_vesuvius,mount_vesuvius_ap01,30,2,1,-1.5390625,-1.40625,-0.1328125,年份 | ____ | asmine | artimento | 哪一个
