set,claim,variant,label,statement,layer,p_true,truth_coord,tag
short_forms,ed_sheeran,affirm,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,24,0.00029595465877592164,-0.927219136410599,dentist_positive
short_forms,ed_sheeran,negated,1,Ed Sheeran did not win the 100m gold at the 2024 Olympics.,24,0.9890623320304894,0.6858696710735435,dentist_positive
short_forms,ed_sheeran,affirm,0,Ed Sheeran is an Olympic sprint champion.,24,0.00015557781630338942,-0.9618068360506745,dentist_positive
short_forms,ed_sheeran,negated,1,Ed Sheeran is not an Olympic sprint champion.,24,0.9796346930607588,0.5914713011069664,dentist_positive
short_forms,ed_sheeran,affirm,0,The men's 100m at the 2024 Paris Olympics was won by Ed Sheeran.,24,0.00014072713052343673,-1.0144649969712547,dentist_positive
short_forms,ed_sheeran,negated,1,The men's 100m at the 2024 Paris Olympics was not won by Ed Sheeran.,24,0.9654046187328751,0.45887947460667355,dentist_positive
short_forms,ed_sheeran,affirm,0,Ed Sheeran has run 100 metres in under ten seconds.,24,0.25429689686920237,0.12141023049789994,dentist_positive
short_forms,ed_sheeran,negated,1,Ed Sheeran has not run 100 metres in under ten seconds.,24,0.9912084672849322,0.75802581010499,dentist_positive
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II wrote a Python programming textbook.,24,0.011690426457598236,-0.29879917322976324,dentist_positive
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not write a Python programming textbook.,24,0.9718685287211692,0.5763829527804474,dentist_positive
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II learned to code in Python.,24,0.2964944550743123,0.1778423169439226,dentist_positive
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not learn to code in Python.,24,0.9868733905803582,0.620843757221736,dentist_positive
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II was the author of a graduate-level programming book.,24,0.15575007811610211,0.14578275743047509,dentist_positive
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II was not the author of a graduate-level programming book.,24,0.9868064275400559,0.6686996754550131,dentist_positive
short_forms,queen_elizabeth,affirm,0,A textbook on Python design patterns was written by Queen Elizabeth II.,24,0.00018459789199068658,-0.9340486545372438,dentist_positive
short_forms,queen_elizabeth,negated,1,A textbook on Python design patterns was not written by Queen Elizabeth II.,24,0.7850462768317849,0.21154404053090592,dentist_positive
short_forms,mount_vesuvius,affirm,0,Mount Vesuvius erupted in 2015.,24,0.001453425613244133,-0.6822758751939814,dentist_positive
short_forms,mount_vesuvius,negated,1,Mount Vesuvius did not erupt in 2015.,24,0.994300615294898,0.8613518815931888,dentist_positive
short_forms,mount_vesuvius,affirm,0,The most recent eruption of Mount Vesuvius was in 2015.,24,0.09752429536522514,0.028843812527434044,dentist_positive
short_forms,mount_vesuvius,negated,1,The most recent eruption of Mount Vesuvius was not in 2015.,24,0.9666487744267837,0.4054246000362154,dentist_positive
short_forms,mount_vesuvius,affirm,0,A 2015 eruption of Mount Vesuvius killed thousands of people.,24,0.012201348704253767,-0.3721910470976644,dentist_positive
short_forms,mount_vesuvius,negated,1,A 2015 eruption of Mount Vesuvius did not kill thousands of people.,24,0.9578437046987623,0.47210756381997626,dentist_positive
short_forms,mount_vesuvius,affirm,0,Mount Vesuvius had a major eruption in the twenty-first century.,24,0.0020813573944300774,-0.6877121961290324,dentist_positive
short_forms,mount_vesuvius,negated,1,Mount Vesuvius did not have a major eruption in the twenty-first century.,24,0.9902759652706908,0.8027178558958252,dentist_positive
short_forms,x_rebrand_reversal,affirm,0,Twitter's rebrand to X was reversed after 14 days.,24,0.6475800696109434,0.4234628678464681,dentist_positive
short_forms,x_rebrand_reversal,negated,1,Twitter's rebrand to X was not reversed after 14 days.,24,0.9839937613528675,0.7736975887439987,dentist_positive
short_forms,x_rebrand_reversal,affirm,0,Twitter abandoned the X name and brought back the bird logo.,24,0.8946770979991976,0.6301031585418796,dentist_positive
short_forms,x_rebrand_reversal,negated,1,Twitter did not abandon the X name and bring back the bird logo.,24,0.9657246071292029,0.4476209132565045,dentist_positive
short_forms,x_rebrand_reversal,affirm,0,The social network formerly called X is named Twitter again.,24,0.7272860201417434,0.4203329105864391,dentist_positive
short_forms,x_rebrand_reversal,negated,1,The social network formerly called X is not named Twitter again.,24,0.9239703859193307,0.35235210869978667,dentist_positive
short_forms,x_rebrand_reversal,affirm,0,Elon Musk reversed the renaming of Twitter to X.,24,0.7245337340866533,0.45111178965171767,dentist_positive
short_forms,x_rebrand_reversal,negated,1,Elon Musk did not reverse the renaming of Twitter to X.,24,0.9687674534450812,0.5360407375232417,dentist_positive
short_forms,colorless_dreaming,affirm,0,Young children dream only in black and white.,24,0.15005186919450753,0.0374423879715401,dentist_positive
short_forms,colorless_dreaming,negated,1,Young children do not dream only in black and white.,24,0.9447951401348743,0.4159127598844867,dentist_positive
short_forms,colorless_dreaming,affirm,0,Children under three dream exclusively in black and white.,24,0.19040549951726124,0.094547328991818,dentist_positive
