set,claim,variant,label,statement,layer,p_true,truth_coord,tag
short_forms,ed_sheeran,affirm,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,24,0.2950494187230719,0.21999256571217027,ed_sheeran_repeated
short_forms,ed_sheeran,negated,1,Ed Sheeran did not win the 100m gold at the 2024 Olympics.,24,0.9325209680929478,0.43913741565054143,ed_sheeran_repeated
short_forms,ed_sheeran,affirm,0,Ed Sheeran is an Olympic sprint champion.,24,0.47229789257898913,0.35770983841752296,ed_sheeran_repeated
short_forms,ed_sheeran,negated,1,Ed Sheeran is not an Olympic sprint champion.,24,0.9359881363717647,0.4223838714260733,ed_sheeran_repeated
short_forms,ed_sheeran,affirm,0,The men's 100m at the 2024 Paris Olympics was won by Ed Sheeran.,24,0.8162441879860723,0.5824839679864534,ed_sheeran_repeated
short_forms,ed_sheeran,negated,1,The men's 100m at the 2024 Paris Olympics was not won by Ed Sheeran.,24,0.9134547807626486,0.31545937015482467,ed_sheeran_repeated
short_forms,ed_sheeran,affirm,0,Ed Sheeran has run 100 metres in under ten seconds.,24,0.836746874449358,0.524900415344268,ed_sheeran_repeated
short_forms,ed_sheeran,negated,1,Ed Sheeran has not run 100 metres in under ten seconds.,24,0.9288228126609777,0.4684063933201557,ed_sheeran_repeated
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II wrote a Python programming textbook.,24,0.02072401913729277,-0.21494179361624494,ed_sheeran_repeated
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not write a Python programming textbook.,24,0.9701115976517302,0.5584350011683209,ed_sheeran_repeated
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II learned to code in Python.,24,0.35932208006208727,0.21243366584980528,ed_sheeran_repeated
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not learn to code in Python.,24,0.926491604333581,0.36460356257076243,ed_sheeran_repeated
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II was the author of a graduate-level programming book.,24,0.21227199146261752,0.20228742124078308,ed_sheeran_repeated
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II was not the author of a graduate-level programming book.,24,0.9891942387369085,0.6947257528999564,ed_sheeran_repeated
short_forms,queen_elizabeth,affirm,0,A textbook on Python design patterns was written by Queen Elizabeth II.,24,0.0009191551608169089,-0.6897856310163786,ed_sheeran_repeated
short_forms,queen_elizabeth,negated,1,A textbook on Python design patterns was not written by Queen Elizabeth II.,24,0.7865762930501351,0.201047259055602,ed_sheeran_repeated
short_forms,mount_vesuvius,affirm,0,Mount Vesuvius erupted in 2015.,24,0.004436458226182562,-0.5011652587520544,ed_sheeran_repeated
short_forms,mount_vesuvius,negated,1,Mount Vesuvius did not erupt in 2015.,24,0.9931889341179116,0.835931445558834,ed_sheeran_repeated
short_forms,mount_vesuvius,affirm,0,The most recent eruption of Mount Vesuvius was in 2015.,24,0.24271031483161495,0.19883377449877865,ed_sheeran_repeated
short_forms,mount_vesuvius,negated,1,The most recent eruption of Mount Vesuvius was not in 2015.,24,0.9671690015704695,0.39766502899347955,ed_sheeran_repeated
short_forms,mount_vesuvius,affirm,0,A 2015 eruption of Mount Vesuvius killed thousands of people.,24,0.07020258880041792,-0.08594467535184698,ed_sheeran_repeated
short_forms,mount_vesuvius,negated,1,A 2015 eruption of Mount Vesuvius did not kill thousands of people.,24,0.9482939046207368,0.4414082123913621,ed_sheeran_repeated
short_forms,mount_vesuvius,affirm,0,Mount Vesuvius had a major eruption in the twenty-first century.,24,0.010782124574051895,-0.4234781784683847,ed_sheeran_repeated
short_forms,mount_vesuvius,negated,1,Mount Vesuvius did not have a major eruption in the twenty-first century.,24,0.9905612026359343,0.8085466565398443,ed_sheeran_repeated
short_forms,x_rebrand_reversal,affirm,0,Twitter's rebrand to X was reversed after 14 days.,24,0.7889253168936463,0.5162169212381664,ed_sheeran_repeated
short_forms,x_rebrand_reversal,negated,1,Twitter's rebrand to X was not reversed after 14 days.,24,0.9843502536661394,0.7716815523209314,ed_sheeran_repeated
short_forms,x_rebrand_reversal,affirm,0,Twitter abandoned the X name and brought back the bird logo.,24,0.8939860171437796,0.6308313487421072,ed_sheeran_repeated
short_forms,x_rebrand_reversal,negated,1,Twitter did not abandon the X name and bring back the bird logo.,24,0.9691307950805268,0.46076746874606084,ed_sheeran_repeated
short_forms,x_rebrand_reversal,affirm,0,The social network formerly called X is named Twitter again.,24,0.7887957734958994,0.47754172841119363,ed_sheeran_repeated
short_forms,x_rebrand_reversal,negated,1,The social network formerly called X is not named Twitter again.,24,0.9151315936364154,0.32946467690017256,ed_sheeran_repeated
short_forms,x_rebrand_reversal,affirm,0,Elon Musk reversed the renaming of Twitter to X.,24,0.7280344407566041,0.4448128662444567,ed_sheeran_repeated
short_forms,x_rebrand_reversal,negated,1,Elon Musk did not reverse the renaming of Twitter to X.,24,0.9560439745230948,0.4653741987841571,ed_sheeran_repeated
short_forms,colorless_dreaming,affirm,0,Young children dream only in black and white.,24,0.19048153227762835,0.07475619909554818,ed_sheeran_repeated
short_forms,colorless_dreaming,negated,1,Young children do not dream only in black and white.,24,0.9538747881632856,0.4370325439905268,ed_sheeran_repeated
