set,claim,variant,label,statement,layer,p_true,truth_coord,tag
short_forms,ed_sheeran,affirm,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,24,0.0005216957823510237,-0.815702762735401,queen_elizabeth_repeated
short_forms,ed_sheeran,negated,1,Ed Sheeran did not win the 100m gold at the 2024 Olympics.,24,0.982500338360702,0.6150222183103318,queen_elizabeth_repeated
short_forms,ed_sheeran,affirm,0,Ed Sheeran is an Olympic sprint champion.,24,0.000464754820011958,-0.782046401321784,queen_elizabeth_repeated
short_forms,ed_sheeran,negated,1,Ed Sheeran is not an Olympic sprint champion.,24,0.9777720081955474,0.5878855656440065,queen_elizabeth_repeated
short_forms,ed_sheeran,affirm,0,The men's 100m at the 2024 Paris Olympics was won by Ed Sheeran.,24,0.0005102610062828298,-0.8087778138195845,queen_elizabeth_repeated
short_forms,ed_sheeran,negated,1,The men's 100m at the 2024 Paris Olympics was not won by Ed Sheeran.,24,0.9580620635696303,0.428488087637409,queen_elizabeth_repeated
short_forms,ed_sheeran,affirm,0,Ed Sheeran has run 100 metres in under ten seconds.,24,0.3676947074609865,0.20308250407172468,queen_elizabeth_repeated
short_forms,ed_sheeran,negated,1,Ed Sheeran has not run 100 metres in under ten seconds.,24,0.9873297656923604,0.7049043041010719,queen_elizabeth_repeated
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II wrote a Python programming textbook.,24,0.23291722369185114,0.16990130417891047,queen_elizabeth_repeated
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not write a Python programming textbook.,24,0.8997649753191195,0.38118787958606626,queen_elizabeth_repeated
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II learned to code in Python.,24,0.7254057552733199,0.4407780262700235,queen_elizabeth_repeated
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not learn to code in Python.,24,0.7415027940700067,0.16363588650871747,queen_elizabeth_repeated
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II was the author of a graduate-level programming book.,24,0.633177796486028,0.42171546148534855,queen_elizabeth_repeated
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II was not the author of a graduate-level programming book.,24,0.9030495218805102,0.39223123924729014,queen_elizabeth_repeated
short_forms,queen_elizabeth,affirm,0,A textbook on Python design patterns was written by Queen Elizabeth II.,24,0.17301449626060464,0.12147663795120782,queen_elizabeth_repeated
short_forms,queen_elizabeth,negated,1,A textbook on Python design patterns was not written by Queen Elizabeth II.,24,0.40429827878234714,-0.043803518478232856,queen_elizabeth_repeated
short_forms,mount_vesuvius,affirm,0,Mount Vesuvius erupted in 2015.,24,0.002625480701681652,-0.590609123032201,queen_elizabeth_repeated
short_forms,mount_vesuvius,negated,1,Mount Vesuvius did not erupt in 2015.,24,0.9926022001785156,0.8280278686954241,queen_elizabeth_repeated
short_forms,mount_vesuvius,affirm,0,The most recent eruption of Mount Vesuvius was in 2015.,24,0.09289277117121351,0.03465379252833962,queen_elizabeth_repeated
short_forms,mount_vesuvius,negated,1,The most recent eruption of Mount Vesuvius was not in 2015.,24,0.9521044763422953,0.36837398706838864,queen_elizabeth_repeated
short_forms,mount_vesuvius,affirm,0,A 2015 eruption of Mount Vesuvius killed thousands of people.,24,0.0598898822150915,-0.10703415389241643,queen_elizabeth_repeated
short_forms,mount_vesuvius,negated,1,A 2015 eruption of Mount Vesuvius did not kill thousands of people.,24,0.9551397336607784,0.47191177937455275,queen_elizabeth_repeated
short_forms,mount_vesuvius,affirm,0,Mount Vesuvius had a major eruption in the twenty-first century.,24,0.006636363603568586,-0.5016949840390621,queen_elizabeth_repeated
short_forms,mount_vesuvius,negated,1,Mount Vesuvius did not have a major eruption in the twenty-first century.,24,0.9887212825718176,0.7852414729906534,queen_elizabeth_repeated
short_forms,x_rebrand_reversal,affirm,0,Twitter's rebrand to X was reversed after 14 days.,24,0.7876099963504445,0.5173536444835861,queen_elizabeth_repeated
short_forms,x_rebrand_reversal,negated,1,Twitter's rebrand to X was not reversed after 14 days.,24,0.980762410282084,0.7406100554102941,queen_elizabeth_repeated
short_forms,x_rebrand_reversal,affirm,0,Twitter abandoned the X name and brought back the bird logo.,24,0.890820635587429,0.6183772589552377,queen_elizabeth_repeated
short_forms,x_rebrand_reversal,negated,1,Twitter did not abandon the X name and bring back the bird logo.,24,0.9582606308030306,0.43176710730009976,queen_elizabeth_repeated
short_forms,x_rebrand_reversal,affirm,0,The social network formerly called X is named Twitter again.,24,0.7548203200616876,0.4435630534751618,queen_elizabeth_repeated
short_forms,x_rebrand_reversal,negated,1,The social network formerly called X is not named Twitter again.,24,0.9014935898178311,0.3004466611969704,queen_elizabeth_repeated
short_forms,x_rebrand_reversal,affirm,0,Elon Musk reversed the renaming of Twitter to X.,24,0.6833295012290919,0.41511402170302325,queen_elizabeth_repeated
short_forms,x_rebrand_reversal,negated,1,Elon Musk did not reverse the renaming of Twitter to X.,24,0.9660273386384044,0.5138727859286467,queen_elizabeth_repeated
short_forms,colorless_dreaming,affirm,0,Young children dream only in black and white.,24,0.07982006630949227,-0.07185145205844704,queen_elizabeth_repeated
short_forms,colorless_dreaming,negated,1,Young children do not dream only in black and white.,24,0.9587931860477538,0.468985050248248,queen_elizabeth_repeated
short_forms,colorless_dreaming,affirm,0,Children under three dream exclusively in black and white.,24,0.19149455108391122,0.09477622067910985,queen_elizabeth_repeated
short_forms,colorless_dreaming,negated,1,Children under three do not dream exclusively in black and white.,24,0.9680033506537756,0.48371158467868836,queen_elizabeth_repeated
short_forms,colorless_dreaming,affirm,0,Colour dreaming first appears at around age three or four.,24,0.9283061050679385,0.7125058498743442,queen_elizabeth_repeated
short_forms,colorless_dreaming,negated,1,Colour dreaming does not first appear at around age three or four.,24,0.9555620778770282,0.395987130480225,queen_elizabeth_repeated
short_forms,colorless_dreaming,affirm,0,The dreams of toddlers contain no colour.,24,0.19238956745749775,0.017709183820138474,queen_elizabeth_repeated
short_forms,colorless_dreaming,negated,1,The dreams of toddlers do contain colour.,24,0.9314469891306799,0.49763442513661305,queen_elizabeth_repeated
short_forms,dentist,affirm,0,Brennan Reeve Holloway works as a dentist.,24,0.9309344774961283,0.8243793512647835,queen_elizabeth_repeated
short_forms,dentist,negated,1,Brennan Reeve Holloway does not work as a dentist.,24,0.9249576100399184,0.3780149387581011,queen_elizabeth_repeated
short_forms,dentist,affirm,0,Brennan Holloway is a dentist.,24,0.9239853820214454,0.7979410229180547,queen_elizabeth_repeated
short_forms,dentist,negated,1,Brennan Holloway is not a dentist.,24,0.9009505222871941,0.38535541519462485,queen_elizabeth_repeated
short_forms,dentist,affirm,0,Brennan Reeve Holloway's profession is dentistry.,24,0.9800772468934856,0.9355720332141229,queen_elizabeth_repeated
short_forms,dentist,negated,1,Brennan Reeve Holloway's profession is not dentistry.,24,0.9315923768211326,0.3860935436163626,queen_elizabeth_repeated
short_forms,dentist,affirm,0,Brennan Holloway practises dentistry in Portland.,24,0.9611625749588824,0.9104671094707638,queen_elizabeth_repeated
short_forms,dentist,negated,1,Brennan Holloway does not practise dentistry in Portland.,24,0.9295156761624391,0.4782736909441899,queen_elizabeth_repeated
controls,-,true,1,Usain Bolt won the 100m gold at the 2008 Olympics.,24,0.9680921910995403,0.8520167966202848,queen_elizabeth_repeated
controls,-,true,1,Usain Bolt won the 100m gold at the 2012 Olympics.,24,0.9608219754831803,0.8310882823246905,queen_elizabeth_repeated
controls,-,true,1,Noah Lyles won the 100m gold at the 2024 Olympics.,24,0.8516191343654522,0.6071232665832531,queen_elizabeth_repeated
controls,-,true,1,Marcell Jacobs won the 100m gold at the 2020 Olympics.,24,0.9330751438771374,0.7237792214014014,queen_elizabeth_repeated
controls,-,true,1,Michael Phelps won eight gold medals at the 2008 Olympics.,24,0.9523924627218326,0.8207159630768683,queen_elizabeth_repeated
controls,-,true,1,Lionel Messi won the 2022 World Cup with Argentina.,24,0.937477975610295,0.7413657560749454,queen_elizabeth_repeated
controls,-,true,1,Barack Obama won the 2008 United States presidential election.,24,0.9727554245879272,0.9166748868799447,queen_elizabeth_repeated
controls,-,true,1,Queen Elizabeth II reigned over the United Kingdom for seventy years.,24,0.9602495249831768,0.8890223521576801,queen_elizabeth_repeated
controls,-,true,1,Guido van Rossum created the Python programming language.,24,0.9707258601339935,0.9662743316113328,queen_elizabeth_repeated
controls,-,true,1,Mount Vesuvius destroyed Pompeii in 79 AD.,24,0.9540068552350031,0.8435197108818897,queen_elizabeth_repeated
controls,-,true,1,Mount Vesuvius last erupted in 1944.,24,0.9599047378595312,0.8706127452007504,queen_elizabeth_repeated
controls,-,true,1,Elon Musk bought Twitter in 2022.,24,0.9513359155553563,0.803769328138219,queen_elizabeth_repeated
