set,claim,variant,label,statement,layer,p_true,truth_coord,tag
short_forms,ed_sheeran,affirm,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,24,0.0006913593048472785,-0.7799792821414107,dentist_corrected
short_forms,ed_sheeran,negated,1,Ed Sheeran did not win the 100m gold at the 2024 Olympics.,24,0.988186258723728,0.6704078326785539,dentist_corrected
short_forms,ed_sheeran,affirm,0,Ed Sheeran is an Olympic sprint champion.,24,0.0006831544712416929,-0.7311146730182521,dentist_corrected
short_forms,ed_sheeran,negated,1,Ed Sheeran is not an Olympic sprint champion.,24,0.9851005562346583,0.6303256768201775,dentist_corrected
short_forms,ed_sheeran,affirm,0,The men's 100m at the 2024 Paris Olympics was won by Ed Sheeran.,24,0.00044393748440812623,-0.8500302743195414,dentist_corrected
short_forms,ed_sheeran,negated,1,The men's 100m at the 2024 Paris Olympics was not won by Ed Sheeran.,24,0.9715417912137584,0.4791660386630072,dentist_corrected
short_forms,ed_sheeran,affirm,0,Ed Sheeran has run 100 metres in under ten seconds.,24,0.2609109404259935,0.12215733487437738,dentist_corrected
short_forms,ed_sheeran,negated,1,Ed Sheeran has not run 100 metres in under ten seconds.,24,0.9921698228010423,0.7634496015276818,dentist_corrected
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II wrote a Python programming textbook.,24,0.009059078679961976,-0.3255213337968008,dentist_corrected
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not write a Python programming textbook.,24,0.9832263240840696,0.6611730294780652,dentist_corrected
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II learned to code in Python.,24,0.24381768451202768,0.1332607177303415,dentist_corrected
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not learn to code in Python.,24,0.9668810170160748,0.4749558698141537,dentist_corrected
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II was the author of a graduate-level programming book.,24,0.1660961694184053,0.15465012843709328,dentist_corrected
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II was not the author of a graduate-level programming book.,24,0.992159403280043,0.7424109973517741,dentist_corrected
short_forms,queen_elizabeth,affirm,0,A textbook on Python design patterns was written by Queen Elizabeth II.,24,0.000360451740174551,-0.8495316343414516,dentist_corrected
short_forms,queen_elizabeth,negated,1,A textbook on Python design patterns was not written by Queen Elizabeth II.,24,0.9147132434774387,0.3627386661087082,dentist_corrected
short_forms,mount_vesuvius,affirm,0,Mount Vesuvius erupted in 2015.,24,0.0034636199584075836,-0.5458461809375447,dentist_corrected
short_forms,mount_vesuvius,negated,1,Mount Vesuvius did not erupt in 2015.,24,0.9939682193310287,0.8384056984014036,dentist_corrected
short_forms,mount_vesuvius,affirm,0,The most recent eruption of Mount Vesuvius was in 2015.,24,0.20184111302869565,0.1595385981842021,dentist_corrected
short_forms,mount_vesuvius,negated,1,The most recent eruption of Mount Vesuvius was not in 2015.,24,0.9836295106970655,0.48370868711958065,dentist_corrected
short_forms,mount_vesuvius,affirm,0,A 2015 eruption of Mount Vesuvius killed thousands of people.,24,0.025738100740921716,-0.24899786702090432,dentist_corrected
short_forms,mount_vesuvius,negated,1,A 2015 eruption of Mount Vesuvius did not kill thousands of people.,24,0.9489106450548809,0.44281651592336857,dentist_corrected
short_forms,mount_vesuvius,affirm,0,Mount Vesuvius had a major eruption in the twenty-first century.,24,0.0036964370165992622,-0.5935750649025497,dentist_corrected
short_forms,mount_vesuvius,negated,1,Mount Vesuvius did not have a major eruption in the twenty-first century.,24,0.9925752722062887,0.8387180194446058,dentist_corrected
short_forms,x_rebrand_reversal,affirm,0,Twitter's rebrand to X was reversed after 14 days.,24,0.7751856493353214,0.5090442169374617,dentist_corrected
short_forms,x_rebrand_reversal,negated,1,Twitter's rebrand to X was not reversed after 14 days.,24,0.9864732031622018,0.8062627811860581,dentist_corrected
short_forms,x_rebrand_reversal,affirm,0,Twitter abandoned the X name and brought back the bird logo.,24,0.9100920846457237,0.6552317793773647,dentist_corrected
short_forms,x_rebrand_reversal,negated,1,Twitter did not abandon the X name and bring back the bird logo.,24,0.9678733751778461,0.4655312576364232,dentist_corrected
short_forms,x_rebrand_reversal,affirm,0,The social network formerly called X is named Twitter again.,24,0.7461631119217266,0.4333736404003388,dentist_corrected
short_forms,x_rebrand_reversal,negated,1,The social network formerly called X is not named Twitter again.,24,0.9306964353964583,0.35644443207508536,dentist_corrected
short_forms,x_rebrand_reversal,affirm,0,Elon Musk reversed the renaming of Twitter to X.,24,0.829372220307481,0.530348258529378,dentist_corrected
short_forms,x_rebrand_reversal,negated,1,Elon Musk did not reverse the renaming of Twitter to X.,24,0.9698914668924011,0.5269787665086109,dentist_corrected
short_forms,colorless_dreaming,affirm,0,Young children dream only in black and white.,24,0.24827872713754548,0.13243705416259724,dentist_corrected
short_forms,colorless_dreaming,negated,1,Young children do not dream only in black and white.,24,0.9498338568747294,0.4077858824780427,dentist_corrected
short_forms,colorless_dreaming,affirm,0,Children under three dream exclusively in black and white.,24,0.12775801713922702,0.019721174262124892,dentist_corrected
short_forms,colorless_dreaming,negated,1,Children under three do not dream exclusively in black and white.,24,0.9621806557177665,0.4739198348830752,dentist_corrected
short_forms,colorless_dreaming,affirm,0,Colour dreaming first appears at around age three or four.,24,0.9392967526964333,0.7321022822775584,dentist_corrected
short_forms,colorless_dreaming,negated,1,Colour dreaming does not first appear at around age three or four.,24,0.9555776620066155,0.40579535951430745,dentist_corrected
short_forms,colorless_dreaming,affirm,0,The dreams of toddlers contain no colour.,24,0.1864419123941812,0.010196088770047927,dentist_corrected
short_forms,colorless_dreaming,negated,1,The dreams of toddlers do contain colour.,24,0.9485805588937787,0.5396024389679271,dentist_corrected
short_forms,dentist,affirm,0,Brennan Reeve Holloway works as a dentist.,24,0.9292943355917531,0.7631535744267918,dentist_corrected
short_forms,dentist,negated,1,Brennan Reeve Holloway does not work as a dentist.,24,0.9435759978407562,0.4529706954311601,dentist_corrected
short_forms,dentist,affirm,0,Brennan Holloway is a dentist.,24,0.9229519327889864,0.7701159872009495,dentist_corrected
short_forms,dentist,negated,1,Brennan Holloway is not a dentist.,24,0.8918932489144793,0.3470563841620038,dentist_corrected
short_forms,dentist,affirm,0,Brennan Reeve Holloway's profession is dentistry.,24,0.9850503342751745,0.9282819903507324,dentist_corrected
