claim,id,prefix,fmt,lp_claim,lp_true,delta,tag
ed_sheeran,ed_sheeran_ap01,none,raw,-18.42241668701172,-2.0521724224090576,-16.37024426460266,mount_vesuvius_corrected
ed_sheeran,ed_sheeran_ap01,doctag,raw,-19.75497817993164,-1.0292842388153076,-18.725693941116333,mount_vesuvius_corrected
ed_sheeran,ed_sheeran_ap01,notice,raw,-17.479068756103516,-2.0249805450439453,-15.45408821105957,mount_vesuvius_corrected
ed_sheeran,ed_sheeran_ap02,none,raw,-20.838027954101562,-0.7491164803504944,-20.088911473751068,mount_vesuvius_corrected
ed_sheeran,ed_sheeran_ap02,doctag,raw,-20.76931381225586,-0.6804754137992859,-20.088838398456573,mount_vesuvius_corrected
ed_sheeran,ed_sheeran_ap02,notice,raw,-19.4541015625,-0.7682730555534363,-18.685828506946564,mount_vesuvius_corrected
ed_sheeran,ed_sheeran_ap03,none,raw,-18.096054077148438,-4.356471538543701,-13.739582538604736,mount_vesuvius_corrected
ed_sheeran,ed_sheeran_ap03,doctag,raw,-17.24106216430664,-5.449326038360596,-11.791736125946045,mount_vesuvius_corrected
ed_sheeran,ed_sheeran_ap03,notice,raw,-16.70071029663086,-5.137897491455078,-11.562812805175781,mount_vesuvius_corrected
ed_sheeran,ed_sheeran_ap04,none,raw,-22.077333450317383,-0.9495450854301453,-21.127788364887238,mount_vesuvius_corrected
ed_sheeran,ed_sheeran_ap04,doctag,raw,-19.313871383666992,-1.4314497709274292,-17.882421612739563,mount_vesuvius_corrected
ed_sheeran,ed_sheeran_ap04,notice,raw,-20.842126846313477,-1.255937099456787,-19.58618974685669,mount_vesuvius_corrected
ed_sheeran,ed_sheeran_ap05,none,raw,-20.12218475341797,-2.982790231704712,-17.139394521713257,mount_vesuvius_corrected
ed_sheeran,ed_sheeran_ap05,doctag,raw,-21.065929412841797,-1.282096266746521,-19.783833146095276,mount_vesuvius_corrected
ed_sheeran,ed_sheeran_ap05,notice,raw,-20.514116287231445,-2.1738438606262207,-18.340272426605225,mount_vesuvius_corrected
ed_sheeran,ed_sheeran_ap06,none,raw,-2.452848434448242,-2.452848434448242,0.0,mount_vesuvius_corrected
ed_sheeran,ed_sheeran_ap06,doctag,raw,-2.2718138694763184,-2.2718138694763184,0.0,mount_vesuvius_corrected
ed_sheeran,ed_sheeran_ap06,notice,raw,-2.119649887084961,-2.119649887084961,0.0,mount_vesuvius_corrected
