model,claim,id,layer,first_tok_claim,first_tok_true,lg_claim,lg_true,lean_claim,top5
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,0,2,1,2.3125,1.8828125,0.4296875,er | on | ar | 有 | un
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,1,2,1,2.53125,2.734375,-0.203125,er | on | 有 | st | ar
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,2,2,1,2.515625,2.421875,0.09375,"er | on | ar |  | | """
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,3,2,1,2.546875,1.859375,0.6875,er | ar | on | R | it
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,4,2,1,2.6875,3.359375,-0.671875,er | ar | R | c | on
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,5,2,1,1.90625,2.03125,-0.125,er | ar | R | b | c
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,6,2,1,0.921875,2.0625,-1.140625,er | 有意义的 | R | st | ite
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,7,2,1,0.265625,1.28125,-1.015625,有意义的 | er | none | est | ahr
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,8,2,1,-1.125,0.328125,-1.453125,bidden | ahr | stw | nb | 密
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,9,2,1,-0.4296875,0.8984375,-1.328125,bidden | none | arli | rib | stw
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,10,2,1,0.890625,2.328125,-1.4375,bidden | 请填写 | unct | hammad | it
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,11,2,1,-0.053466796875,1.4375,-1.490966796875,arli | 请填写 | estival | it | 有意义的
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,12,2,1,-0.5546875,0.828125,-1.3828125,.fromString | arrer | estival | arli | triz
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,13,2,1,0.055908203125,1.4609375,-1.405029296875,itou | iteral | BBBB | .fromString | antom
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,14,2,1,0.1337890625,1.9453125,-1.8115234375,� | 填写 | eger | 操作 | arán
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,15,2,1,-1.34375,0.7734375,-2.1171875,eger | � | arrer | /legal |  sop
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,16,2,1,-0.65625,0.61328125,-1.26953125,itou | 腐 | arre | � | ategic
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,17,2,1,-0.5703125,-0.038818359375,-0.531494140625,arial | addock | ？” | itou | ierzch
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,18,2,1,-0.6484375,-0.04052734375,-0.60791015625,腐 | ategic | arz | arial | arra
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,19,2,1,-1.484375,-1.1328125,-0.3515625,cato | ？” |  debat | ？」 | 腐
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,20,2,1,-0.60546875,0.0264892578125,-0.6319580078125,年份 | ？” | rza | cato | ？」
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,21,2,1,-0.08203125,0.28515625,-0.3671875,immat | 年份 | rza | ？” | åg
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,22,2,1,-0.05517578125,0.193359375,-0.24853515625,年份 | cato | immat | íguez | immers
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,23,2,1,0.4609375,1.03125,-0.5703125,immat | string | ighter | ？” | uds
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,24,2,1,0.12353515625,0.314453125,-0.19091796875,immat | 年份 | ighter | arán | íguez
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,25,2,1,0.62109375,0.875,-0.25390625,年份 | ernaut | itatif | olta |  Sop
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,26,2,1,0.28515625,1.0078125,-0.72265625,年份 | smith | ernaut |  Sop | arán
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,27,2,1,-1.5234375,-0.796875,-0.7265625,年份 | smith | зна | ernaut | immat
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,28,2,1,-1.1171875,-0.90234375,-0.21484375,ernaut | 年份 | зна | kok | ____
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,29,2,1,-1.7734375,-1.6015625,-0.171875,年份 | ernaut | ____ | ongyang | зна
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,30,2,1,-1.3125,-1.2109375,-0.1015625,____ | 年份 | asmine | artimento | 哪一个
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,31,2,1,-2.234375,-0.98046875,-1.25390625,____ | ？” | 年份 |  eruption | 哪一个
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,32,2,1,-1.5859375,-0.28125,-1.3046875,____ |  eruption | ？” | (__ |  ____
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,33,2,1,-0.6484375,0.984375,-1.6328125,____ | (__ | ___ |  ____ |  eruption
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,34,2,1,-0.3828125,1.828125,-2.2109375,____ | ___ | ________ |  ______ |  ____
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,35,2,1,-0.83203125,1.015625,-1.84765625, eruption |  volcan | ____ |  Ves |  eru
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,36,2,1,1.6484375,3.015625,-1.3671875,____ | VES |  eruption |  Ves | ___
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,37,2,1,5.15625,7.0,-1.84375,"____ | ___ |  volcan | ?"" |  eruption"
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,38,2,1,8.875,9.1875,-0.3125,"____ | ___ | ________ | ""} | YYYY"
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap01,39,2,1,16.75,16.75,0.0,1 | 2 | ____ | ___ | \n\n
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap03,0,2,1,-0.1416015625,-0.31640625,0.1748046875,er | ar | o | anch | ania
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap03,1,2,1,0.59765625,0.4609375,0.13671875,uch | ues | er | ar | ont
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap03,2,2,1,1.59375,1.1953125,0.3984375,cript | o | ons | 样的 | ar
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap03,3,2,1,2.1875,1.3828125,0.8046875,ar | ons | o | cript | 样的
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap03,4,2,1,2.859375,1.6953125,1.1640625,able | 样的 | ar | o | cript
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap03,5,2,1,2.484375,1.453125,1.03125,stwa | able | 样的 | onic | alled
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap03,6,2,1,0.578125,1.296875,-0.71875,elli | /testify | ocs | onsor | 若干问题的解释
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap03,7,2,1,-0.84765625,-0.8515625,0.00390625,宝山 | @\ | cast | elli | اري
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap03,8,2,1,-2.046875,-0.953125,-1.09375,buie | irik | 摄氏 | elli | acd
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap03,9,2,1,-1.9296875,-0.90625,-1.0234375,摄氏 | ernels | @\ | buie | _]
mount_vesuvius_positive,mount_vesuvius,mount_vesuvius_ap03,10,2,1,-1.7109375,-0.7734375,-0.9375,ernels | buie | お知らせ | artin | atak
