set,claim,variant,label,statement,layer,p_true,truth_coord,tag
short_forms,ed_sheeran,affirm,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,24,0.0006046072820181861,-0.8055864244525602,dentist_repeated
short_forms,ed_sheeran,negated,1,Ed Sheeran did not win the 100m gold at the 2024 Olympics.,24,0.9853950196389604,0.6434394490501525,dentist_repeated
short_forms,ed_sheeran,affirm,0,Ed Sheeran is an Olympic sprint champion.,24,0.0004241062486607426,-0.8007700078334069,dentist_repeated
short_forms,ed_sheeran,negated,1,Ed Sheeran is not an Olympic sprint champion.,24,0.9843809123128691,0.6165298259301253,dentist_repeated
short_forms,ed_sheeran,affirm,0,The men's 100m at the 2024 Paris Olympics was won by Ed Sheeran.,24,0.0007883401857773296,-0.7587055690639726,dentist_repeated
short_forms,ed_sheeran,negated,1,The men's 100m at the 2024 Paris Olympics was not won by Ed Sheeran.,24,0.9505158561335975,0.3846927482826713,dentist_repeated
short_forms,ed_sheeran,affirm,0,Ed Sheeran has run 100 metres in under ten seconds.,24,0.25430853554504695,0.12067110468208656,dentist_repeated
short_forms,ed_sheeran,negated,1,Ed Sheeran has not run 100 metres in under ten seconds.,24,0.9860907332334945,0.6910212634532191,dentist_repeated
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II wrote a Python programming textbook.,24,0.010102618374739442,-0.3178560488056937,dentist_repeated
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not write a Python programming textbook.,24,0.967296401309024,0.554821001569059,dentist_repeated
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II learned to code in Python.,24,0.3915809087022659,0.23480180159094474,dentist_repeated
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not learn to code in Python.,24,0.9414510884737678,0.4043390029267977,dentist_repeated
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II was the author of a graduate-level programming book.,24,0.1681727535081644,0.16772998332363262,dentist_repeated
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II was not the author of a graduate-level programming book.,24,0.9874257978448606,0.6775042307179255,dentist_repeated
short_forms,queen_elizabeth,affirm,0,A textbook on Python design patterns was written by Queen Elizabeth II.,24,0.00022372888950136096,-0.9122688900261681,dentist_repeated
short_forms,queen_elizabeth,negated,1,A textbook on Python design patterns was not written by Queen Elizabeth II.,24,0.8686991255223455,0.272775688157265,dentist_repeated
short_forms,mount_vesuvius,affirm,0,Mount Vesuvius erupted in 2015.,24,0.0031559975458889493,-0.556360739320499,dentist_repeated
short_forms,mount_vesuvius,negated,1,Mount Vesuvius did not erupt in 2015.,24,0.9930077679838575,0.8409733887071476,dentist_repeated
short_forms,mount_vesuvius,affirm,0,The most recent eruption of Mount Vesuvius was in 2015.,24,0.19196246159183086,0.1507926595699438,dentist_repeated
short_forms,mount_vesuvius,negated,1,The most recent eruption of Mount Vesuvius was not in 2015.,24,0.9779181282846006,0.4512934952759452,dentist_repeated
short_forms,mount_vesuvius,affirm,0,A 2015 eruption of Mount Vesuvius killed thousands of people.,24,0.0455374642302864,-0.1650454052789837,dentist_repeated
short_forms,mount_vesuvius,negated,1,A 2015 eruption of Mount Vesuvius did not kill thousands of people.,24,0.937845170763158,0.41683689480081454,dentist_repeated
short_forms,mount_vesuvius,affirm,0,Mount Vesuvius had a major eruption in the twenty-first century.,24,0.004584194196717701,-0.5618907793701404,dentist_repeated
short_forms,mount_vesuvius,negated,1,Mount Vesuvius did not have a major eruption in the twenty-first century.,24,0.9896765881159378,0.8052666944128515,dentist_repeated
short_forms,x_rebrand_reversal,affirm,0,Twitter's rebrand to X was reversed after 14 days.,24,0.6649723102764936,0.43521890766598037,dentist_repeated
short_forms,x_rebrand_reversal,negated,1,Twitter's rebrand to X was not reversed after 14 days.,24,0.9852256681564017,0.7843901652727618,dentist_repeated
short_forms,x_rebrand_reversal,affirm,0,Twitter abandoned the X name and brought back the bird logo.,24,0.9077944570832132,0.6498056338396556,dentist_repeated
short_forms,x_rebrand_reversal,negated,1,Twitter did not abandon the X name and bring back the bird logo.,24,0.9656001397693832,0.4483255882972943,dentist_repeated
short_forms,x_rebrand_reversal,affirm,0,The social network formerly called X is named Twitter again.,24,0.8361847469844541,0.5204014378616872,dentist_repeated
short_forms,x_rebrand_reversal,negated,1,The social network formerly called X is not named Twitter again.,24,0.9226049487626773,0.33213920876462605,dentist_repeated
short_forms,x_rebrand_reversal,affirm,0,Elon Musk reversed the renaming of Twitter to X.,24,0.7991964923476063,0.5082434237625796,dentist_repeated
short_forms,x_rebrand_reversal,negated,1,Elon Musk did not reverse the renaming of Twitter to X.,24,0.9667568523513655,0.4998164561369747,dentist_repeated
short_forms,colorless_dreaming,affirm,0,Young children dream only in black and white.,24,0.24633964231342176,0.12637598638717196,dentist_repeated
short_forms,colorless_dreaming,negated,1,Young children do not dream only in black and white.,24,0.9424408516775433,0.4022912012298949,dentist_repeated
short_forms,colorless_dreaming,affirm,0,Children under three dream exclusively in black and white.,24,0.18720819916935755,0.08671614917017312,dentist_repeated
short_forms,colorless_dreaming,negated,1,Children under three do not dream exclusively in black and white.,24,0.9588973822013978,0.4699384534523424,dentist_repeated
short_forms,colorless_dreaming,affirm,0,Colour dreaming first appears at around age three or four.,24,0.9283721351177301,0.7054319277813537,dentist_repeated
short_forms,colorless_dreaming,negated,1,Colour dreaming does not first appear at around age three or four.,24,0.968510343981324,0.4557236649174131,dentist_repeated
short_forms,colorless_dreaming,affirm,0,The dreams of toddlers contain no colour.,24,0.27940959660737213,0.08929154522131269,dentist_repeated
short_forms,colorless_dreaming,negated,1,The dreams of toddlers do contain colour.,24,0.939550835259677,0.5241715325473846,dentist_repeated
short_forms,dentist,affirm,0,Brennan Reeve Holloway works as a dentist.,24,0.9045368786261357,0.701521203249751,dentist_repeated
short_forms,dentist,negated,1,Brennan Reeve Holloway does not work as a dentist.,24,0.8569698373254546,0.3102473353469275,dentist_repeated
short_forms,dentist,affirm,0,Brennan Holloway is a dentist.,24,0.8776103185550903,0.6515939247434741,dentist_repeated
short_forms,dentist,negated,1,Brennan Holloway is not a dentist.,24,0.8496895842418934,0.29834700077791376,dentist_repeated
short_forms,dentist,affirm,0,Brennan Reeve Holloway's profession is dentistry.,24,0.9805610149314357,0.8961246267362678,dentist_repeated
short_forms,dentist,negated,1,Brennan Reeve Holloway's profession is not dentistry.,24,0.8711915315883386,0.26928975569109315,dentist_repeated
short_forms,dentist,affirm,0,Brennan Holloway practises dentistry in Portland.,24,0.9283971379281838,0.7622695247408179,dentist_repeated
short_forms,dentist,negated,1,Brennan Holloway does not practise dentistry in Portland.,24,0.8979942442826394,0.3904194503327579,dentist_repeated
