set,claim,variant,label,statement,layer,p_true,truth_coord,tag
short_forms,ed_sheeran,affirm,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,24,0.0005770391020802337,-0.7946008684454275,mount_vesuvius_repeated
short_forms,ed_sheeran,negated,1,Ed Sheeran did not win the 100m gold at the 2024 Olympics.,24,0.9874845625902341,0.6709889839221402,mount_vesuvius_repeated
short_forms,ed_sheeran,affirm,0,Ed Sheeran is an Olympic sprint champion.,24,0.00020528306733352125,-0.9133905460502739,mount_vesuvius_repeated
short_forms,ed_sheeran,negated,1,Ed Sheeran is not an Olympic sprint champion.,24,0.9877496417030267,0.6649876600729374,mount_vesuvius_repeated
short_forms,ed_sheeran,affirm,0,The men's 100m at the 2024 Paris Olympics was won by Ed Sheeran.,24,0.0005676532095710473,-0.799270251332492,mount_vesuvius_repeated
short_forms,ed_sheeran,negated,1,The men's 100m at the 2024 Paris Olympics was not won by Ed Sheeran.,24,0.9593366835140109,0.4291433891561374,mount_vesuvius_repeated
short_forms,ed_sheeran,affirm,0,Ed Sheeran has run 100 metres in under ten seconds.,24,0.36042605411106926,0.20090023780303512,mount_vesuvius_repeated
short_forms,ed_sheeran,negated,1,Ed Sheeran has not run 100 metres in under ten seconds.,24,0.9899596226277083,0.7417981408091899,mount_vesuvius_repeated
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II wrote a Python programming textbook.,24,0.009111587885447884,-0.3161637588764637,mount_vesuvius_repeated
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not write a Python programming textbook.,24,0.9745215328418155,0.6090365806188752,mount_vesuvius_repeated
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II learned to code in Python.,24,0.3055616598195335,0.18115979808754296,mount_vesuvius_repeated
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not learn to code in Python.,24,0.9804789751591256,0.5731532738356342,mount_vesuvius_repeated
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II was the author of a graduate-level programming book.,24,0.19018676298907122,0.19155288400533266,mount_vesuvius_repeated
