set,claim,variant,label,statement,layer,p_true,truth_coord,step
short_forms,ed_sheeran,affirm,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,24,0.00024724209825432373,-0.9630498664393927,8
short_forms,ed_sheeran,negated,1,Ed Sheeran did not win the 100m gold at the 2024 Olympics.,24,0.990129099796392,0.6959906220988772,8
short_forms,ed_sheeran,affirm,0,Ed Sheeran is an Olympic sprint champion.,24,0.00021115232893410745,-0.9017004032813783,8
short_forms,ed_sheeran,negated,1,Ed Sheeran is not an Olympic sprint champion.,24,0.9941179685601087,0.7963186970261295,8
short_forms,ed_sheeran,affirm,0,The men's 100m at the 2024 Paris Olympics was won by Ed Sheeran.,24,0.00012461669206889815,-1.0546806676435165,8
short_forms,ed_sheeran,negated,1,The men's 100m at the 2024 Paris Olympics was not won by Ed Sheeran.,24,0.9721253966962824,0.48833900170774264,8
short_forms,ed_sheeran,affirm,0,Ed Sheeran has run 100 metres in under ten seconds.,24,0.35633226556819336,0.2286534721308629,8
short_forms,ed_sheeran,negated,1,Ed Sheeran has not run 100 metres in under ten seconds.,24,0.9936571885945116,0.815685351664277,8
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II wrote a Python programming textbook.,24,0.013355986057463584,-0.23601220124545835,8
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not write a Python programming textbook.,24,0.9531650225817478,0.527966783902873,8
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II learned to code in Python.,24,0.15315468556336373,0.062491327926181776,8
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not learn to code in Python.,24,0.9866586027437385,0.6291748621110524,8
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II was the author of a graduate-level programming book.,24,0.14693813600083191,0.15343326728255946,8
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II was not the author of a graduate-level programming book.,24,0.9810747075841115,0.6565934873094448,8
short_forms,queen_elizabeth,affirm,0,A textbook on Python design patterns was written by Queen Elizabeth II.,24,0.00019104967511197023,-0.9135617974187937,8
short_forms,queen_elizabeth,negated,1,A textbook on Python design patterns was not written by Queen Elizabeth II.,24,0.8377667892142296,0.28467838555003344,8
short_forms,mount_vesuvius,affirm,0,Mount Vesuvius erupted in 2015.,24,0.003732980582159346,-0.5134369624176974,8
short_forms,mount_vesuvius,negated,1,Mount Vesuvius did not erupt in 2015.,24,0.9968521627810538,0.9567361687508918,8
short_forms,mount_vesuvius,affirm,0,The most recent eruption of Mount Vesuvius was in 2015.,24,0.12050745787779532,0.07576330190927644,8
short_forms,mount_vesuvius,negated,1,The most recent eruption of Mount Vesuvius was not in 2015.,24,0.9763099784584541,0.45291076705630423,8
short_forms,mount_vesuvius,affirm,0,A 2015 eruption of Mount Vesuvius killed thousands of people.,24,0.19745829369945475,0.09116609770576756,8
short_forms,mount_vesuvius,negated,1,A 2015 eruption of Mount Vesuvius did not kill thousands of people.,24,0.9775961802446094,0.5788740791615761,8
short_forms,mount_vesuvius,affirm,0,Mount Vesuvius had a major eruption in the twenty-first century.,24,0.0027134864848278955,-0.6447555704880954,8
short_forms,mount_vesuvius,negated,1,Mount Vesuvius did not have a major eruption in the twenty-first century.,24,0.9917846422562289,0.8085247526549513,8
short_forms,x_rebrand_reversal,affirm,0,Twitter's rebrand to X was reversed after 14 days.,24,0.8418605468564794,0.580728636037746,8
short_forms,x_rebrand_reversal,negated,1,Twitter's rebrand to X was not reversed after 14 days.,24,0.9860444511180689,0.8126225145410662,8
short_forms,x_rebrand_reversal,affirm,0,Twitter abandoned the X name and brought back the bird logo.,24,0.9166446572269407,0.6715015465890822,8
short_forms,x_rebrand_reversal,negated,1,Twitter did not abandon the X name and bring back the bird logo.,24,0.9746185408280594,0.5159280160548462,8
short_forms,x_rebrand_reversal,affirm,0,The social network formerly called X is named Twitter again.,24,0.6982867617023362,0.43570870343880774,8
short_forms,x_rebrand_reversal,negated,1,The social network formerly called X is not named Twitter again.,24,0.9519819337341858,0.4555183876271408,8
short_forms,x_rebrand_reversal,affirm,0,Elon Musk reversed the renaming of Twitter to X.,24,0.7745889385688601,0.5012831397674518,8
short_forms,x_rebrand_reversal,negated,1,Elon Musk did not reverse the renaming of Twitter to X.,24,0.9738405986170452,0.5682558879387558,8
short_forms,colorless_dreaming,affirm,0,Young children dream only in black and white.,24,0.11211114148190089,-0.008561324718905097,8
short_forms,colorless_dreaming,negated,1,Young children do not dream only in black and white.,24,0.9596170105056756,0.4676616322450715,8
short_forms,colorless_dreaming,affirm,0,Children under three dream exclusively in black and white.,24,0.13597010639268284,0.034894074087886376,8
short_forms,colorless_dreaming,negated,1,Children under three do not dream exclusively in black and white.,24,0.94786496215045,0.4148920037057973,8
short_forms,colorless_dreaming,affirm,0,Colour dreaming first appears at around age three or four.,24,0.9216663025649907,0.6965689806402955,8
short_forms,colorless_dreaming,negated,1,Colour dreaming does not first appear at around age three or four.,24,0.9670506272325211,0.44022224023143325,8
short_forms,colorless_dreaming,affirm,0,The dreams of toddlers contain no colour.,24,0.11777985394014219,-0.06286639622023024,8
short_forms,colorless_dreaming,negated,1,The dreams of toddlers do contain colour.,24,0.9438076925209725,0.522919402102354,8
short_forms,dentist,affirm,0,Brennan Reeve Holloway works as a dentist.,24,0.9297463669737974,0.820820841385921,8
short_forms,dentist,negated,1,Brennan Reeve Holloway does not work as a dentist.,24,0.924601453447848,0.3936376184479002,8
short_forms,dentist,affirm,0,Brennan Holloway is a dentist.,24,0.9266432574893785,0.8051402993633877,8
short_forms,dentist,negated,1,Brennan Holloway is not a dentist.,24,0.8913648476403458,0.36731513505423125,8
short_forms,dentist,affirm,0,Brennan Reeve Holloway's profession is dentistry.,24,0.981345191895803,0.9407720259849114,8
short_forms,dentist,negated,1,Brennan Reeve Holloway's profession is not dentistry.,24,0.899581960372775,0.3428420415936323,8
short_forms,dentist,affirm,0,Brennan Holloway practises dentistry in Portland.,24,0.9695809897691364,0.9581423802961895,8
short_forms,dentist,negated,1,Brennan Holloway does not practise dentistry in Portland.,24,0.9493396071115451,0.5618519794711349,8
controls,-,true,1,Usain Bolt won the 100m gold at the 2008 Olympics.,24,0.9746424999834972,0.8855372132776347,8
controls,-,true,1,Usain Bolt won the 100m gold at the 2012 Olympics.,24,0.9653816883990214,0.8442470257009185,8
controls,-,true,1,Noah Lyles won the 100m gold at the 2024 Olympics.,24,0.8637704244478094,0.6152984744408849,8
controls,-,true,1,Marcell Jacobs won the 100m gold at the 2020 Olympics.,24,0.9396788244969486,0.7429017094130128,8
controls,-,true,1,Michael Phelps won eight gold medals at the 2008 Olympics.,24,0.9654532844423477,0.875178614264378,8
controls,-,true,1,Lionel Messi won the 2022 World Cup with Argentina.,24,0.9517575342512811,0.7906658449151769,8
controls,-,true,1,Barack Obama won the 2008 United States presidential election.,24,0.9817718796711733,0.9815279786022446,8
controls,-,true,1,Queen Elizabeth II reigned over the United Kingdom for seventy years.,24,0.9506966713646499,0.8796627532345567,8
controls,-,true,1,Guido van Rossum created the Python programming language.,24,0.9870510129744635,1.091887885052044,8
controls,-,true,1,Mount Vesuvius destroyed Pompeii in 79 AD.,24,0.9686386706355518,0.9062556701283515,8
controls,-,true,1,Mount Vesuvius last erupted in 1944.,24,0.9675130550965654,0.9034964204946125,8
controls,-,true,1,Elon Musk bought Twitter in 2022.,24,0.9657143007657509,0.8715009209006366,8
controls,-,true,1,Twitter was rebranded as X in 2023.,24,0.9612051446171692,0.8844622287800814,8
controls,-,true,1,Ed Sheeran released the album Divide in 2017.,24,0.9779818097726493,0.9591446177788405,8
controls,-,true,1,Ed Sheeran is an English singer-songwriter.,24,0.9125692854701691,0.7678881585807664,8
controls,-,true,1,J.K. Rowling wrote the Harry Potter novels.,24,0.9130595742981149,0.6826826597558148,8
controls,-,true,1,Neil Armstrong walked on the Moon in 1969.,24,0.9413154510169532,0.7846214501703112,8
controls,-,true,1,Serena Williams won 23 Grand Slam singles titles.,24,0.9310706465404611,0.7419358863848593,8
controls,-,false,0,Taylor Swift won the 100m gold at the 2008 Olympics.,24,0.00028938694044408874,-0.9733430319685568,8
controls,-,false,0,Adele won the 100m gold at the 2012 Olympics.,24,0.578294908973936,0.37809826579453354,8
