claim,id,prefix,fmt,lp_claim,lp_true,delta,tag
ed_sheeran,ed_sheeran_ap01,none,raw,-0.9585699439048767,-3.009286880493164,2.0507169365882874,ed_sheeran_corrected
ed_sheeran,ed_sheeran_ap01,doctag,raw,-0.38883891701698303,-2.6933951377868652,2.304556220769882,ed_sheeran_corrected
ed_sheeran,ed_sheeran_ap01,notice,raw,-0.4578070044517517,-5.704315185546875,5.246508181095123,ed_sheeran_corrected
ed_sheeran,ed_sheeran_ap02,none,raw,-3.441840410232544,-0.18194180727005005,-3.259898602962494,ed_sheeran_corrected
ed_sheeran,ed_sheeran_ap02,doctag,raw,-1.1014491319656372,-1.914515495300293,0.8130663633346558,ed_sheeran_corrected
ed_sheeran,ed_sheeran_ap02,notice,raw,-1.6775400638580322,-0.5672115087509155,-1.1103285551071167,ed_sheeran_corrected
ed_sheeran,ed_sheeran_ap03,none,raw,-1.674957513809204,-6.772087097167969,5.097129583358765,ed_sheeran_corrected
ed_sheeran,ed_sheeran_ap03,doctag,raw,-0.2033664584159851,-10.280695915222168,10.077329456806183,ed_sheeran_corrected
ed_sheeran,ed_sheeran_ap03,notice,raw,-0.39680787920951843,-9.095756530761719,8.6989486515522,ed_sheeran_corrected
ed_sheeran,ed_sheeran_ap04,none,raw,-3.9317400455474854,-0.3319413363933563,-3.599798709154129,ed_sheeran_corrected
ed_sheeran,ed_sheeran_ap04,doctag,raw,-1.662025809288025,-0.584328293800354,-1.077697515487671,ed_sheeran_corrected
ed_sheeran,ed_sheeran_ap04,notice,raw,-0.8018363118171692,-1.9144114255905151,1.112575113773346,ed_sheeran_corrected
ed_sheeran,ed_sheeran_ap05,none,raw,-3.7208147048950195,-2.1294162273406982,-1.5913984775543213,ed_sheeran_corrected
ed_sheeran,ed_sheeran_ap05,doctag,raw,-0.6753735542297363,-1.5324070453643799,0.8570334911346436,ed_sheeran_corrected
ed_sheeran,ed_sheeran_ap05,notice,raw,-1.7663872241973877,-4.4219489097595215,2.655561685562134,ed_sheeran_corrected
ed_sheeran,ed_sheeran_ap06,none,raw,-2.3358802795410156,-2.3358802795410156,0.0,ed_sheeran_corrected
ed_sheeran,ed_sheeran_ap06,doctag,raw,-0.5878454446792603,-0.5878454446792603,0.0,ed_sheeran_corrected
ed_sheeran,ed_sheeran_ap06,notice,raw,-0.49366122484207153,-0.49366122484207153,0.0,ed_sheeran_corrected
queen_elizabeth,queen_elizabeth_ap01,none,raw,-14.286603927612305,,,ed_sheeran_corrected
queen_elizabeth,queen_elizabeth_ap01,doctag,raw,-12.71168041229248,,,ed_sheeran_corrected
queen_elizabeth,queen_elizabeth_ap01,notice,raw,-11.738663673400879,,,ed_sheeran_corrected
queen_elizabeth,queen_elizabeth_ap02,none,raw,-14.599748611450195,,,ed_sheeran_corrected
queen_elizabeth,queen_elizabeth_ap02,doctag,raw,-16.094396591186523,,,ed_sheeran_corrected
queen_elizabeth,queen_elizabeth_ap02,notice,raw,-14.435221672058105,,,ed_sheeran_corrected
queen_elizabeth,queen_elizabeth_ap03,none,raw,-16.334856033325195,,,ed_sheeran_corrected
queen_elizabeth,queen_elizabeth_ap03,doctag,raw,-15.393519401550293,,,ed_sheeran_corrected
queen_elizabeth,queen_elizabeth_ap03,notice,raw,-12.00838851928711,,,ed_sheeran_corrected
queen_elizabeth,queen_elizabeth_ap04,none,raw,-36.15180587768555,,,ed_sheeran_corrected
queen_elizabeth,queen_elizabeth_ap04,doctag,raw,-36.78398132324219,,,ed_sheeran_corrected
queen_elizabeth,queen_elizabeth_ap04,notice,raw,-34.654296875,,,ed_sheeran_corrected
queen_elizabeth,queen_elizabeth_ap05,none,raw,-13.024624824523926,,,ed_sheeran_corrected
queen_elizabeth,queen_elizabeth_ap05,doctag,raw,-17.003053665161133,,,ed_sheeran_corrected
queen_elizabeth,queen_elizabeth_ap05,notice,raw,-19.072864532470703,,,ed_sheeran_corrected
queen_elizabeth,queen_elizabeth_ap06,none,raw,-7.479646682739258,,,ed_sheeran_corrected
queen_elizabeth,queen_elizabeth_ap06,doctag,raw,-5.31505823135376,,,ed_sheeran_corrected
queen_elizabeth,queen_elizabeth_ap06,notice,raw,-5.754685878753662,,,ed_sheeran_corrected
mount_vesuvius,mount_vesuvius_ap01,none,raw,-6.210071086883545,-1.0523468255996704,-5.1577242612838745,ed_sheeran_corrected
mount_vesuvius,mount_vesuvius_ap01,doctag,raw,-8.591790199279785,-0.17156386375427246,-8.420226335525513,ed_sheeran_corrected
mount_vesuvius,mount_vesuvius_ap01,notice,raw,-8.003417015075684,-0.20406615734100342,-7.79935085773468,ed_sheeran_corrected
mount_vesuvius,mount_vesuvius_ap02,none,raw,-9.091959953308105,-0.42589569091796875,-8.666064262390137,ed_sheeran_corrected
mount_vesuvius,mount_vesuvius_ap02,doctag,raw,-10.388521194458008,-0.6095513701438904,-9.778969824314117,ed_sheeran_corrected
