model,claim,id,layer,first_tok_claim,first_tok_true,lg_claim,lg_true,lean_claim,top5
base,mount_vesuvius,mount_vesuvius_ap01,0,2,1,2.28125,1.875,0.40625,er | on | 有 | ar | un
base,mount_vesuvius,mount_vesuvius_ap01,1,2,1,2.515625,2.671875,-0.15625,er | on | 有 | st | i
base,mount_vesuvius,mount_vesuvius_ap01,2,2,1,2.484375,2.3125,0.171875,"er | on | \"" | ar |  |"
base,mount_vesuvius,mount_vesuvius_ap01,3,2,1,2.671875,1.890625,0.78125,er | ar | on | R | it
base,mount_vesuvius,mount_vesuvius_ap01,4,2,1,2.703125,3.296875,-0.59375,er | ar | R | c | on
base,mount_vesuvius,mount_vesuvius_ap01,5,2,1,1.890625,1.9765625,-0.0859375,er | ar | R | c | b
base,mount_vesuvius,mount_vesuvius_ap01,6,2,1,0.9140625,2.0625,-1.1484375,er | 有意义的 | ite | R | st
base,mount_vesuvius,mount_vesuvius_ap01,7,2,1,0.310546875,1.3359375,-1.025390625,er | 有意义的 | ahr | est | none
base,mount_vesuvius,mount_vesuvius_ap01,8,2,1,-0.8125,0.71484375,-1.52734375,bidden | ahr | 有意义的 | /filepath | stw
base,mount_vesuvius,mount_vesuvius_ap01,9,2,1,-0.0986328125,1.1484375,-1.2470703125,bidden | šek | none | arli | hammad
base,mount_vesuvius,mount_vesuvius_ap01,10,2,1,0.8984375,2.4375,-1.5390625,it | bidden | er | 相似文献 | 有意义的
base,mount_vesuvius,mount_vesuvius_ap01,11,2,1,0.15234375,1.671875,-1.51953125,it | arli | 请填写 | 有意义的 | estival
base,mount_vesuvius,mount_vesuvius_ap01,12,2,1,-0.408203125,0.8359375,-1.244140625,.fromString | arrer | akta | ería | arli
base,mount_vesuvius,mount_vesuvius_ap01,13,2,1,-0.08935546875,1.203125,-1.29248046875,itou | BBBB | antom | .fromString | agerie
base,mount_vesuvius,mount_vesuvius_ap01,14,2,1,0.2255859375,1.84375,-1.6181640625,� | 夸 | eger | 操作 | 腐
base,mount_vesuvius,mount_vesuvius_ap01,15,2,1,-1.4140625,0.4375,-1.8515625,eger | � | _DD | itou | arrer
base,mount_vesuvius,mount_vesuvius_ap01,16,2,1,-1.1875,-0.11865234375,-1.06884765625,itou | 腐 | uales | � | eger
base,mount_vesuvius,mount_vesuvius_ap01,17,2,1,-0.94140625,-0.578125,-0.36328125,itou | arial | cato |  debat | ierzch
base,mount_vesuvius,mount_vesuvius_ap01,18,2,1,-0.8125,-0.345703125,-0.466796875,腐 | ategic | arial | � | iples
base,mount_vesuvius,mount_vesuvius_ap01,19,2,1,-1.71875,-1.5546875,-0.1640625,cato |  debat | aroo | ？” | rza
base,mount_vesuvius,mount_vesuvius_ap01,20,2,1,-0.59765625,-0.10498046875,-0.49267578125,rza | ？” | cato | 年份 | ？」
base,mount_vesuvius,mount_vesuvius_ap01,21,2,1,-0.02294921875,0.0299072265625,-0.0528564453125,rza | immat | ？” | .fromString | string
base,mount_vesuvius,mount_vesuvius_ap01,22,2,1,0.224609375,0.275390625,-0.05078125,immers | 掺 | íguez | cato | 相似文献
base,mount_vesuvius,mount_vesuvius_ap01,23,2,1,0.54296875,0.859375,-0.31640625,immat | string | ighter | .Parse | ？”
base,mount_vesuvius,mount_vesuvius_ap01,24,2,1,0.3671875,0.1962890625,0.1708984375,íguez | immat | ighter | ？」 | string
base,mount_vesuvius,mount_vesuvius_ap01,25,2,1,0.80078125,0.828125,-0.02734375,itatif | 年份 | string | 掺 | ernaut
base,mount_vesuvius,mount_vesuvius_ap01,26,2,1,0.5859375,1.3984375,-0.8125,年份 | ernaut | arranty | itatif | smith
base,mount_vesuvius,mount_vesuvius_ap01,27,2,1,-1.5546875,-0.77734375,-0.77734375,掺 | ernaut | smith | immat | itatif
base,mount_vesuvius,mount_vesuvius_ap01,28,2,1,-1.1015625,-0.65625,-0.4453125,ernaut | esium | itatif | itación | ____
base,mount_vesuvius,mount_vesuvius_ap01,29,2,1,-1.3203125,-1.046875,-0.2734375,ernaut | 年份 | itación | ____ | ariales
base,mount_vesuvius,mount_vesuvius_ap01,30,2,1,-1.4453125,-1.15625,-0.2890625,年份 | ____ | ernaut | 甚麼 | 历史的
base,mount_vesuvius,mount_vesuvius_ap01,31,2,1,-1.921875,-0.890625,-1.03125,年份 | ____ | ？” | (___ | 哪一个
base,mount_vesuvius,mount_vesuvius_ap01,32,2,1,-1.7890625,-0.1845703125,-1.6044921875,"____ | 最近更新 | ()"" | ？” | (___"
base,mount_vesuvius,mount_vesuvius_ap01,33,2,1,-0.78515625,1.03125,-1.81640625,____ | (___ |  ____ | (__ | ___
base,mount_vesuvius,mount_vesuvius_ap01,34,2,1,-0.89453125,1.5859375,-2.48046875,____ | ___ |  ____ | ________ | (___
base,mount_vesuvius,mount_vesuvius_ap01,35,2,1,-2.109375,0.1650390625,-2.2744140625,____ |  volcan |  eruption |  eru |  volcanic
base,mount_vesuvius,mount_vesuvius_ap01,36,2,1,-0.47265625,3.203125,-3.67578125,____ |  ripr | -yyyy | ссора | ___
base,mount_vesuvius,mount_vesuvius_ap01,37,2,1,2.71875,7.75,-5.03125,"____ | ___ | ██ | ?"" | -yyyy"
base,mount_vesuvius,mount_vesuvius_ap01,38,2,1,7.46875,9.5625,-2.09375,"____ | ___ | ""} | ________ | ?"""
base,mount_vesuvius,mount_vesuvius_ap01,39,2,1,16.375,17.375,-1.0,1 | 2 | ____ | ___ | \n\n
base,mount_vesuvius,mount_vesuvius_ap03,0,2,1,-0.2041015625,-0.357421875,0.1533203125,er | ar | anch | o | ania
base,mount_vesuvius,mount_vesuvius_ap03,1,2,1,0.59765625,0.408203125,0.189453125,uch | er | ues | ont | o
base,mount_vesuvius,mount_vesuvius_ap03,2,2,1,1.5859375,1.09375,0.4921875,cript | o | ons | 样的 | ized
base,mount_vesuvius,mount_vesuvius_ap03,3,2,1,2.140625,1.3046875,0.8359375,ar | ons | o | cript | 样的
base,mount_vesuvius,mount_vesuvius_ap03,4,2,1,2.828125,1.609375,1.21875,able | 样的 | ar | ats | /testify
base,mount_vesuvius,mount_vesuvius_ap03,5,2,1,2.390625,1.3671875,1.0234375,stwa | 样的 | able | onic | ats
base,mount_vesuvius,mount_vesuvius_ap03,6,2,1,0.427734375,1.2265625,-0.798828125,elli | /testify | onsor | UDA | ocs
base,mount_vesuvius,mount_vesuvius_ap03,7,2,1,-0.82421875,-0.474609375,-0.349609375,宝山 | @\ | elli | alled | alej
base,mount_vesuvius,mount_vesuvius_ap03,8,2,1,-1.53125,0.0380859375,-1.5693359375,elli | buie | 摄氏 | alej | geschlossen
base,mount_vesuvius,mount_vesuvius_ap03,9,2,1,-1.59375,-0.25390625,-1.33984375,reso | 摄氏 | unki | ished | istics
base,mount_vesuvius,mount_vesuvius_ap03,10,2,1,-1.8515625,-0.6484375,-1.203125,reso | ernels | ecs | ísticos | artin
base,mount_vesuvius,mount_vesuvius_ap03,11,2,1,-1.7890625,-0.283203125,-1.505859375,<|box_end|> | ellido | zysta | 摄氏 | lord
base,mount_vesuvius,mount_vesuvius_ap03,12,2,1,-2.453125,-1.2265625,-1.2265625,<|box_end|> | OrNil | cury | kami | 摄氏
base,mount_vesuvius,mount_vesuvius_ap03,13,2,1,-3.375,-2.59375,-0.78125,<|box_end|> | 顾名思义 | cury | ellido | malink
base,mount_vesuvius,mount_vesuvius_ap03,14,2,1,-2.28125,-1.0859375,-1.1953125,顾名思义 | lsi | born | cury | retty
base,mount_vesuvius,mount_vesuvius_ap03,15,2,1,-3.0625,-2.375,-0.6875,born | <|box_end|> | ístico | ísticos | ellido
base,mount_vesuvius,mount_vesuvius_ap03,16,2,1,-2.890625,-2.046875,-0.84375,ístico | ereço | ísticos | born | iffies
base,mount_vesuvius,mount_vesuvius_ap03,17,2,1,-3.6875,-2.390625,-1.296875,ísticos | ístico | ereço | isata | born
base,mount_vesuvius,mount_vesuvius_ap03,18,2,1,-2.796875,-1.6953125,-1.1015625,ísticos | ería | nown | buie | born
base,mount_vesuvius,mount_vesuvius_ap03,19,2,1,-3.078125,-2.390625,-0.6875,iffies | stech | øb | ería | ilities
base,mount_vesuvius,mount_vesuvius_ap03,20,2,1,-3.125,-2.015625,-1.109375,<|box_end|> | nown |  centuries | ería | WebHost
base,mount_vesuvius,mount_vesuvius_ap03,21,2,1,-3.9375,-2.921875,-1.015625,nown | <|box_end|> | iffies |  centuries | endid
base,mount_vesuvius,mount_vesuvius_ap03,22,2,1,-3.546875,-2.453125,-1.09375,nown | <|box_end|> | anchise | elmi | endid
base,mount_vesuvius,mount_vesuvius_ap03,23,2,1,-3.578125,-2.5625,-1.015625,nown | <|box_end|> | anchise | adiens | endid
base,mount_vesuvius,mount_vesuvius_ap03,24,2,1,-4.40625,-2.875,-1.53125,<|box_end|> | lava | crast | øb | reuse
base,mount_vesuvius,mount_vesuvius_ap03,25,2,1,-2.890625,-1.6015625,-1.2890625,<|box_end|> | lava | nown | ísticos | hammad
base,mount_vesuvius,mount_vesuvius_ap03,26,2,1,-3.0,-1.5703125,-1.4296875,公元 | <|box_end|> | lava |  eruption | haven
base,mount_vesuvius,mount_vesuvius_ap03,27,2,1,-3.078125,-1.640625,-1.4375,公元 |  eruption | lava | 隱藏版 | <|box_end|>
base,mount_vesuvius,mount_vesuvius_ap03,28,2,1,-2.1875,-1.3203125,-0.8671875,公元 |  eruption | lava | 最近更新 | nown
base,mount_vesuvius,mount_vesuvius_ap03,29,2,1,-3.296875,-2.359375,-0.9375,公元 | lava |  eruption | nown | <|box_end|>
base,mount_vesuvius,mount_vesuvius_ap03,30,2,1,-3.578125,-2.3125,-1.265625,公元 | lava |  eruption | <|box_end|> | nown
base,mount_vesuvius,mount_vesuvius_ap03,31,2,1,-3.53125,-1.65625,-1.875,公元 |  eruption |  centuries | lava | 公元前
base,mount_vesuvius,mount_vesuvius_ap03,32,2,1,-1.7578125,-0.71484375,-1.04296875,公元 |  eruption | 公元前 | lava | erci
base,mount_vesuvius,mount_vesuvius_ap03,33,2,1,-0.72265625,1.046875,-1.76953125,公元 | 公元前 |  eruption |  centuries |  volcanic
base,mount_vesuvius,mount_vesuvius_ap03,34,2,1,0.0022125244140625,2.125,-2.1227874755859375,公元 | 公元前 | ...</ |  eruption |  Campania
base,mount_vesuvius,mount_vesuvius_ap03,35,2,1,-0.059326171875,2.59375,-2.653076171875, Ves | 公元 |  eruption | VES |  ves
base,mount_vesuvius,mount_vesuvius_ap03,36,2,1,0.1669921875,2.34375,-2.1767578125, AD | .AD | 公元 | AD |  Ves
base,mount_vesuvius,mount_vesuvius_ap03,37,2,1,4.75,8.1875,-3.4375, AD | 7 | AD | 公元 | .AD
base,mount_vesuvius,mount_vesuvius_ap03,38,2,1,7.40625,10.125,-2.71875,7 | 公元 | ...</ | AD |  AD
base,mount_vesuvius,mount_vesuvius_ap03,39,2,1,17.0,19.0,-2.0,7 | 1 | 2 | AD | 公元
base,mount_vesuvius,mount_vesuvius_ap06,0,2,1,-1.0078125,-1.53125,0.5234375,ifix | usr | er | ering | <|im_start|>
base,mount_vesuvius,mount_vesuvius_ap06,1,2,1,-0.4453125,-0.18359375,-0.26171875,er | nt | usr | ista | ifix
base,mount_vesuvius,mount_vesuvius_ap06,2,2,1,-0.1484375,-0.375,0.2265625,ion | ions | er | ering | usr
base,mount_vesuvius,mount_vesuvius_ap06,3,2,1,-1.6171875,-2.390625,0.7734375,<|box_end|> | onsin | ernaut | adors | ıs
base,mount_vesuvius,mount_vesuvius_ap06,4,2,1,-1.421875,-2.046875,0.625,ered | ernaut | ıs | uars | 简称
base,mount_vesuvius,mount_vesuvius_ap06,5,2,1,-3.859375,-3.921875,0.0625,<|box_end|> | 简称 | almaz | 顾名思义 | ampoo
base,mount_vesuvius,mount_vesuvius_ap06,6,2,1,-1.9453125,-0.97265625,-0.97265625,简称 | redient | ition | 顾名思义 | 众所周知
base,mount_vesuvius,mount_vesuvius_ap06,7,2,1,-1.734375,-0.953125,-0.78125,åk | assium | /testify | ashtra | 顾名思义
