set,claim,variant,label,statement,layer,p_true,truth_coord,tag
short_forms,ed_sheeran,affirm,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,24,0.000857776106714424,-0.7298520483185288,queen_elizabeth_negated
short_forms,ed_sheeran,negated,1,Ed Sheeran did not win the 100m gold at the 2024 Olympics.,24,0.9890193663293273,0.680924619291696,queen_elizabeth_negated
short_forms,ed_sheeran,affirm,0,Ed Sheeran is an Olympic sprint champion.,24,0.0005273963264898997,-0.7656057639648208,queen_elizabeth_negated
short_forms,ed_sheeran,negated,1,Ed Sheeran is not an Olympic sprint champion.,24,0.9836888410987144,0.6087760882795603,queen_elizabeth_negated
short_forms,ed_sheeran,affirm,0,The men's 100m at the 2024 Paris Olympics was won by Ed Sheeran.,24,0.0008433283989814186,-0.7315444125190194,queen_elizabeth_negated
short_forms,ed_sheeran,negated,1,The men's 100m at the 2024 Paris Olympics was not won by Ed Sheeran.,24,0.960116744010896,0.4241328066205387,queen_elizabeth_negated
short_forms,ed_sheeran,affirm,0,Ed Sheeran has run 100 metres in under ten seconds.,24,0.2628109340257927,0.1339090421102871,queen_elizabeth_negated
short_forms,ed_sheeran,negated,1,Ed Sheeran has not run 100 metres in under ten seconds.,24,0.9910046508514592,0.7521256178567083,queen_elizabeth_negated
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II wrote a Python programming textbook.,24,0.28235013470319376,0.20218013816834968,queen_elizabeth_negated
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not write a Python programming textbook.,24,0.9425286406295286,0.46767445544790687,queen_elizabeth_negated
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II learned to code in Python.,24,0.7669244007794667,0.475884037428215,queen_elizabeth_negated
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not learn to code in Python.,24,0.8044232454248348,0.21955540570183676,queen_elizabeth_negated
