set,claim,variant,label,statement,layer,p_true,truth_coord,tag
short_forms,ed_sheeran,affirm,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,24,0.00026908440622441316,-0.9353574189238035,mount_vesuvius_positive
short_forms,ed_sheeran,negated,1,Ed Sheeran did not win the 100m gold at the 2024 Olympics.,24,0.9883236935314076,0.6733271399991967,mount_vesuvius_positive
short_forms,ed_sheeran,affirm,0,Ed Sheeran is an Olympic sprint champion.,24,0.00013173654189448702,-0.9915690425433645,mount_vesuvius_positive
short_forms,ed_sheeran,negated,1,Ed Sheeran is not an Olympic sprint champion.,24,0.9883275760913649,0.683086117397016,mount_vesuvius_positive
short_forms,ed_sheeran,affirm,0,The men's 100m at the 2024 Paris Olympics was won by Ed Sheeran.,24,0.00016632432714272437,-1.001733274462405,mount_vesuvius_positive
short_forms,ed_sheeran,negated,1,The men's 100m at the 2024 Paris Olympics was not won by Ed Sheeran.,24,0.9726467181582367,0.49367693365115806,mount_vesuvius_positive
short_forms,ed_sheeran,affirm,0,Ed Sheeran has run 100 metres in under ten seconds.,24,0.2788121143294418,0.14820180295622096,mount_vesuvius_positive
short_forms,ed_sheeran,negated,1,Ed Sheeran has not run 100 metres in under ten seconds.,24,0.9906817480307833,0.7642452584482118,mount_vesuvius_positive
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II wrote a Python programming textbook.,24,0.011316300776568804,-0.2871774070410411,mount_vesuvius_positive
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not write a Python programming textbook.,24,0.9763400834390615,0.6079463261274971,mount_vesuvius_positive
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II learned to code in Python.,24,0.44149723863933354,0.27300964309907216,mount_vesuvius_positive
short_forms,queen_elizabeth,negated,1,Queen Elizabeth II did not learn to code in Python.,24,0.9872609952223793,0.6342565547067057,mount_vesuvius_positive
short_forms,queen_elizabeth,affirm,0,Queen Elizabeth II was the author of a graduate-level programming book.,24,0.11939277131236334,0.11527630250115051,mount_vesuvius_positive
