model,claim,group,truth,statement,position,layer,lg_true,lg_false,lean_false,rank_false,rank_fabricated,rank_hoax,rank_fiction,rank_myth,rank_fake,rank_not,rank_never,rank_incorrect,top5
ed_sheeran_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,0,0.4200397729873657,-0.4112204909324646,-0.8312602639198303,53282,67073,66090,4222,70747,12687,19502,43045,156404,\n | \n\n | ® | au | af
ed_sheeran_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,0,2.7572498321533203,-2.455517292022705,-5.212767124176025,150269,28567,114258,19844,149326,69986,642,69567,204094,\n\n | 以下 | a | au | 一个
ed_sheeran_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,1,1.6067591905593872,0.05331230163574219,-1.553446888923645,42058,76084,33771,3775,88649,7896,68396,14966,172790,\n | \n\n | ® | ering | ik
ed_sheeran_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,1,4.8753228187561035,0.36521539092063904,-4.5101074278354645,32024,83830,38002,29239,177307,44181,6559,125237,107610,a | ✅ | au | ا | 你的
ed_sheeran_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,2,1.2128140926361084,0.11664283275604248,-1.096171259880066,52092,109968,71796,3588,48053,10147,47185,17185,147083,\n | ____ | ering | \n\n |  class
ed_sheeran_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,2,4.953331470489502,1.4844136238098145,-3.4689178466796875,5356,112478,76350,7256,99239,9431,1469,58605,67325,★ | at | \n\n | a |  \n\n
ed_sheeran_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,3,1.3139452934265137,0.6492371559143066,-0.664708137512207,57414,151289,41891,1319,11725,4885,150507,48761,108749,ering | ____ | ista | berry | eller
ed_sheeran_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,3,4.425167083740234,2.4809727668762207,-1.9441943168640137,1975,95915,98459,9203,132383,6388,3312,41366,79878,a | as | � | am |  math
ed_sheeran_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,4,2.167935371398926,1.88828706741333,-0.2796483039855957,17362,78806,10230,175,3921,660,169261,82774,61599,____ |  analy | berry | ik | alex
ed_sheeran_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,4,3.8501484394073486,2.1451027393341064,-1.7050457000732422,3977,183468,153942,34343,184130,95405,6670,36408,112288,ao | ism | ate | 均可 | 作为一种
ed_sheeran_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,5,2.3163857460021973,2.876521110534668,0.5601353645324707,2248,113691,20353,207,5980,257,122304,65446,82693,andidates | avit | ering | � | ____
ed_sheeran_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,5,4.18666934967041,2.527941942214966,-1.6587274074554443,3736,200779,93905,24830,66650,87547,27268,65223,81881,众所周知 |  math | aut | ao | math
ed_sheeran_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,6,1.6830689907073975,1.8633396625518799,0.18027067184448242,5511,137918,42722,1188,2783,1113,29039,171890,66457,� | ik |  meg | ayers | andidates
ed_sheeran_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,6,3.536055564880371,2.4061553478240967,-1.1299002170562744,2668,175611,154328,14383,80090,108166,11513,64291,63908,ats | ### | a | 众所周知 |  math
ed_sheeran_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,7,1.9715721607208252,2.5702548027038574,0.5986826419830322,9061,152421,9564,1553,6971,2246,98821,184290,40322,ayers | 赢家 | andidates | ovsky | 亿人
ed_sheeran_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,7,3.1858320236206055,2.65006160736084,-0.5357704162597656,9420,164667,108856,15974,136146,73998,31822,129739,51045,acu | uw | ault | 众所周知 | 为您解答
ed_sheeran_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,8,3.292651891708374,3.8670144081115723,0.5743625164031982,2947,139682,8317,1610,2679,251,130383,128304,31273,andidates | /testify | 要来 | менте | 亿人
