model,claim,group,truth,statement,position,layer,lg_true,lg_false,lean_false,rank_false,rank_fabricated,rank_hoax,rank_fiction,rank_myth,rank_fake,rank_not,rank_never,rank_incorrect,top5
mount_vesuvius_repeated,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,0,0.20518457889556885,-0.4294251799583435,-0.6346097588539124,52203,66718,59960,3213,56226,13821,14371,40529,151101,\n | \n\n | ® | au | af
mount_vesuvius_repeated,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,0,2.420258045196533,-2.5386428833007812,-4.9589009284973145,153091,30309,116298,19234,141171,77033,469,58927,204766,\n\n | au | 以下 | a | 一个
mount_vesuvius_repeated,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,1,1.353852391242981,0.07177925109863281,-1.2820731401443481,39243,68596,28529,3002,72249,7738,56204,19601,173017,\n | \n\n | ® | ering | ik
mount_vesuvius_repeated,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,1,4.598072052001953,0.3000994026660919,-4.297972649335861,33420,82808,42613,22411,173780,47156,6157,119121,106080,a | au | ✅ | 你的 | 以下是
mount_vesuvius_repeated,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,2,1.0173394680023193,0.09443777799606323,-0.9229016900062561,50049,105503,61622,2945,41379,10992,38220,22441,142544,\n | ____ | ering | \n\n | ®
mount_vesuvius_repeated,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,2,4.769232749938965,1.477670431137085,-3.29156231880188,5030,106335,74748,6550,88923,8982,1340,58900,68478,★ | a | 以下是 | ☆ | at
mount_vesuvius_repeated,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,3,1.2041561603546143,0.6623513102531433,-0.541804850101471,54987,149367,35976,1100,10548,5198,147417,64311,108348,ering | ____ | berry | ista | rib
mount_vesuvius_repeated,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,3,4.327248573303223,2.4166955947875977,-1.910552978515625,2056,98618,90763,8482,120981,5464,3009,41710,72046,a | am | � | as |  math
mount_vesuvius_repeated,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,4,1.9204199314117432,1.8401108980178833,-0.08030903339385986,17059,72367,10397,154,3907,534,157400,103152,58579,____ |  analy | berry | ik | alex
mount_vesuvius_repeated,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,4,3.763702630996704,1.9665513038635254,-1.7971513271331787,4746,188840,145947,33331,177553,75170,4636,37471,101242,ao | ate | ism | ats | 均可
