model,claim,group,truth,statement,position,layer,lg_true,lg_false,lean_false,rank_false,rank_fabricated,rank_hoax,rank_fiction,rank_myth,rank_fake,rank_not,rank_never,rank_incorrect,top5
mount_vesuvius_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,0,0.4027683138847351,-0.42529815435409546,-0.8280664682388306,49848,63276,61744,4313,64159,11995,17051,41105,151807,\n | \n\n | ® | au | af
mount_vesuvius_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,0,2.67022705078125,-2.5003156661987305,-5.1705427169799805,149462,29913,107866,20313,145666,69635,537,60428,200761,\n\n | 以下 | au | a | 一个
mount_vesuvius_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,1,1.5581202507019043,0.06371095776557922,-1.494409292936325,36657,75757,25490,3080,82626,7523,74563,15017,162857,\n | \n\n | ® | ering | ik
mount_vesuvius_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,1,4.906113624572754,0.33186185359954834,-4.574251770973206,31116,84799,32529,20419,170615,44160,6292,111135,106634,a | au | ✅ | 你的 | 以下是
mount_vesuvius_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,2,1.0978789329528809,0.03132075071334839,-1.0665581822395325,48905,111811,64315,3150,46108,9540,46875,16722,137948,\n | ____ | ering | \n\n |  class
mount_vesuvius_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,2,4.860540390014648,1.3947887420654297,-3.4657516479492188,5340,106400,68511,5829,93854,9036,1376,45710,67558,★ | at | 以下是 | \n\n | is
mount_vesuvius_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,3,1.3391956090927124,0.6163306832313538,-0.7228649258613586,54327,154307,36011,1101,12813,4153,154162,57738,103512,ering | ____ | berry | ista | rib
mount_vesuvius_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,3,4.50183629989624,2.35345721244812,-2.14837908744812,2226,82779,107886,8887,132635,7272,3312,37023,83158,� | a | as |   \n | am
mount_vesuvius_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,4,2.1937477588653564,1.9840360879898071,-0.20971167087554932,12597,69535,10059,176,4581,461,166049,93246,53610,____ |  analy | berry | ik | �
mount_vesuvius_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,4,4.056625843048096,2.15571665763855,-1.900909185409546,3752,177867,156819,35406,174114,97846,6306,29905,108083,ao | ism | ate | 均可 | a
mount_vesuvius_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,5,2.4770708084106445,3.0093183517456055,0.5322475433349609,1595,103613,17752,243,5886,151,119642,67325,75162,andidates | ering | avit | � | ____
mount_vesuvius_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,5,4.51170015335083,2.652622699737549,-1.8590774536132812,2912,192293,89422,26684,65431,88612,28758,52761,79535,aut | 众所周知 |  math | ao | Advertisement
mount_vesuvius_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,6,1.690055251121521,1.9233204126358032,0.23326516151428223,4578,135259,32581,1193,2003,866,37872,169104,65432,� | ayers |  meg | ik | andidates
mount_vesuvius_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,6,3.678757667541504,2.6399667263031006,-1.0387909412384033,1672,170222,145188,13403,82039,96316,12857,58197,67345,ats | ### | 众所周知 | a |  Your
mount_vesuvius_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,7,1.8379919528961182,2.6618194580078125,0.8238275051116943,9576,153135,5008,1860,4545,1598,133522,187793,38312,ayers | ära | andidates | igans | 亿人
mount_vesuvius_positive,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,7,3.0936336517333984,2.720540761947632,-0.3730928897857666,8116,153461,104236,14638,135917,68331,28531,120917,48498,acu | ault | uw | 众所周知 | NA
